trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,5,1,0.0468605632585416,0.02230948571009693,0.0468605632585416,19.493994315553305,9.280746055400323,19.493994315553305,"[0.0542200653257624, 0.013733150872554197, 0.04247053569605577]","[0.0, 0.0, 0.02230948571009693]","[0.0542200653257624, 0.013733150872554197, 0.04247053569605577]","[22.55554717551716, 5.712990762982546, 17.6677428495592]","[0.0, 0.0, 9.280746055400323]","[22.55554717551716, 5.712990762982546, 17.6677428495592]"
2,5,2,0.03207092632366337,0.025249762842388262,0.03207092632366337,13.341505350643962,10.503901342433517,13.341505350643962,"[0.025440707662809498, 0.015701542448886635, 0.025858924551626306]","[0.0, 0.0, 0.025249762842388262]","[0.025440707662809498, 0.015701542448886635, 0.025858924551626306]","[10.583334387728751, 6.53184165873684, 10.757312613476543]","[0.0, 0.0, 10.503901342433517]","[10.583334387728751, 6.53184165873684, 10.757312613476543]"
3,5,3,0.031286983222138534,0.022774016811153555,0.031286983222138534,13.01538502040963,9.473990993439878,13.01538502040963,"[0.0339653168777381, 0.016290181422326182, 0.023513172101123712]","[0.0, 0.0, 0.022774016811153555]","[0.0339653168777381, 0.016290181422326182, 0.023513172101123712]","[14.129571821139049, 6.776715471687691, 9.781479594067465]","[0.0, 0.0, 9.473990993439878]","[14.129571821139049, 6.776715471687691, 9.781479594067465]"
4,5,4,0.018096610244391874,0.024430745429344737,0.018096610244391874,7.52818986166702,10.16319009860741,7.52818986166702,"[0.013308907597209551, 0.009290795438461286, 0.014122477864347385]","[0.0, 0.0, 0.024430745429344737]","[0.013308907597209551, 0.009290795438461286, 0.014122477864347385]","[5.536505560439173, 3.864970902399895, 5.874950791568512]","[0.0, 0.0, 10.16319009860741]","[5.536505560439173, 3.864970902399895, 5.874950791568512]"
5,5,5,0.020287902543843793,0.022981845269484304,0.020287902543843793,8.439767458239018,9.56044763210547,8.439767458239018,"[0.021170876856847938, 0.010881146925092209, 0.013519802792422328]","[0.0, 0.0, 0.022981845269484304]","[0.021170876856847938, 0.010881146925092209, 0.013519802792422328]","[8.807084772448743, 4.526557120838359, 5.6242379616476885]","[0.0, 0.0, 9.56044763210547]","[8.807084772448743, 4.526557120838359, 5.6242379616476885]"
6,3,4,0.028375226382982642,0.024430745429344737,0.02182814191899598,11.80409417532078,10.16319009860741,9.080507038302327,"[0.048249477188634364, 0.018388761291615638, 0.018489023544368086]","[0.0, 0.0, 0.024430745429344737]","[0.028949686313180623, 0.011033256774969386, 0.016389325676301972]","[20.071782510471895, 7.649724697312105, 7.691433794457123]","[0.0, 0.0, 10.16319009860741]","[12.043069506283139, 4.589834818387264, 6.81795948134162]"
7,3,3,0.023883586990173452,0.022774016811153555,0.015020478169002467,9.935572187912156,9.473990993439878,6.2485189183050265,"[0.010025409679167327, 0.011172306775497375, 0.01926129619379681]","[0.0, 0.0, 0.022774016811153555]","[0.006015245807500393, 0.0067033840652984305, 0.01244514823025636]","[4.170570426533608, 4.647679618606908, 8.012699216619472]","[0.0, 0.0, 9.473990993439878]","[2.5023422559201633, 2.788607771164147, 5.177181663786646]"
8,3,5,0.03149978462504502,0.022981845269484304,0.018046019773157552,13.103910404018727,9.56044763210547,7.5071442256335414,"[0.018086854127482337, 0.01922065925621842, 0.02069956919582424]","[0.0, 0.0, 0.022981845269484304]","[0.010852112476489394, 0.01153239555373105, 0.011786430666346628]","[7.524131317032651, 7.995794250586862, 8.611020785462884]","[0.0, 0.0, 9.56044763210547]","[4.514478790219588, 4.797476550352116, 4.903155157200197]"
9,3,2,0.021821567394853723,0.025249762842388262,0.015108606653328749,9.077772036259148,10.503901342433517,6.2851803677847595,"[0.03814388196536113, 0.009928393169837992, 0.01761778535746951]","[0.0, 0.0, 0.025249762842388262]","[0.022886329179216673, 0.005957035901902798, 0.012473130211252643]","[15.867854897590231, 4.130211558652604, 7.328998708707316]","[0.0, 0.0, 10.503901342433517]","[9.520712938554135, 2.4781269351915642, 5.188822167881099]"
10,3,1,0.020596740562597173,0.02230948571009693,0.011581138186174943,8.568244074040424,9.280746055400323,4.817753485448776,"[0.008696063409890596, 0.012615812050878484, 0.012581515529414024]","[0.0, 0.0, 0.02230948571009693]","[0.0052176380459343545, 0.007569487230527099, 0.006900914280220908]","[3.617562378514488, 5.24817781316545, 5.233910460236234]","[0.0, 0.0, 9.280746055400323]","[2.1705374271086915, 3.1489066878992733, 2.8707803405718977]"
