trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
1,5,1,0.019589822577882575,0.019589822577882575,8.149366192399151,8.149366192399151,"[0.019592270085727132, 0.011883170902539635, 0.012984898074545871]","[0.019592270085727132, 0.011883170902539635, 0.012984898074545871]","[8.150384355662487, 4.943399095456488, 5.401717599011082]","[8.150384355662487, 4.943399095456488, 5.401717599011082]"
2,5,2,0.018503500443927925,0.018503500443927925,7.697456184674016,7.697456184674016,"[0.030480504034915222, 0.006959853384517184, 0.01609949995059579]","[0.030480504034915222, 0.006959853384517184, 0.01609949995059579]","[12.679889678524733, 2.8952990079591485, 6.697391979447849]","[12.679889678524733, 2.8952990079591485, 6.697391979447849]"
3,5,3,0.017250755216401275,0.017250755216401275,7.1763141700229305,7.1763141700229305,"[0.030115434047252566, 0.004836816594069569, 0.015900689744666182]","[0.030115434047252566, 0.004836816594069569, 0.015900689744666182]","[12.528020563657067, 2.0121157031329404, 6.614686933781131]","[12.528020563657067, 2.0121157031329404, 6.614686933781131]"
4,5,4,0.023701960803242682,0.023701960803242682,9.836313733345714,9.836313733345714,"[0.043951276183946286, 0.007747502247898233, 0.02104329287780906]","[0.043951276183946286, 0.007747502247898233, 0.02104329287780906]","[18.23977961633771, 3.215213432877767, 8.73296654429076]","[18.23977961633771, 3.215213432877767, 8.73296654429076]"
5,5,5,0.016124613310088656,0.016124613310088656,6.707839136996881,6.707839136996881,"[0.019675603952774026, 0.009926652846029053, 0.010512671921690538]","[0.019675603952774026, 0.009926652846029053, 0.010512671921690538]","[8.185051244353994, 4.1294875839480865, 4.373271519423263]","[8.185051244353994, 4.1294875839480865, 4.373271519423263]"
6,3,4,0.014558952571675221,0.008735371543005131,6.056524269816892,3.6339145618901343,"[0.013519970601853263, 0.00642919834069107, 0.011846295434561116]","[0.008111982361111967, 0.0038575190044146434, 0.00710777726073667]","[5.624307770370957, 2.674546509727485, 4.928058900777424]","[3.3745846622225786, 1.6047279058364916, 2.956835340466455]"
7,3,5,0.018133379414006275,0.010880027648403769,7.54348583622661,4.5260915017359675,"[0.02333709626362617, 0.005812347375329445, 0.015500509581658847]","[0.014002257758175707, 0.0034874084251976687, 0.009300305748995309]","[9.708232045668487, 2.4179365081370494, 6.44821198597008]","[5.824939227401094, 1.4507619048822302, 3.8689271915820487]"
8,3,1,0.017657342425233723,0.010594405455140225,7.345454448897229,4.407272669338334,"[0.012222631738674654, 0.00770967435220403, 0.013239571520698603]","[0.007333579043204804, 0.0046258046113224205, 0.007943742912419166]","[5.084614803288656, 3.2072245305168767, 5.507661752610619]","[3.0507688819731986, 1.924334718310127, 3.304597051566373]"
9,3,2,0.024522264676397783,0.014713358805838673,10.201262105381478,6.120757263228888,"[0.03474361877506799, 0.010252382453105332, 0.020711741986088057]","[0.0208461712650408, 0.006151429471863202, 0.012427045191652827]","[14.453345410428286, 4.264991100491818, 8.616084666212632]","[8.672007246256973, 2.558994660295092, 5.169650799727576]"
10,3,3,0.018386245811531518,0.011031747486918896,7.648678257597112,4.589206954558261,"[0.012633934748344042, 0.008104663304055525, 0.015519486616301318]","[0.007580360849006424, 0.004862797982433314, 0.009311691969780789]","[5.255716855311122, 3.3715399344870987, 6.456106432381349]","[3.153430113186672, 2.0229239606922587, 3.873663859428808]"
11,2,3,0.02010343388986195,0.008041373555944788,8.36302849818257,3.345211399273032,"[0.014219777712374761, 0.010453764678718728, 0.01489938797196196]","[0.005687911084949902, 0.004181505871487489, 0.005959755188784783]","[5.915427528347901, 4.348766106346991, 6.198145396336176]","[2.366171011339159, 1.7395064425387956, 2.4792581585344697]"
12,2,2,0.016731473370374585,0.0066925893481498255,6.960292922075827,2.7841171688303272,"[0.010745630114652311, 0.00645136391181704, 0.01417034933905648]","[0.004298252045860928, 0.0025805455647268136, 0.005668139735622593]","[4.470182127695361, 2.6837673873158887, 5.894865325047496]","[1.7880728510781458, 1.0735069549263545, 2.3579461300189988]"
13,2,5,0.016404089523730455,0.006561635809492179,6.82410124187187,2.7296404967487464,"[0.02468075174548145, 0.005630747123225687, 0.014414912242029636]","[0.009872300698192572, 0.00225229884929027, 0.00576596489681186]","[10.267192726120284, 2.342390803261886, 5.996603492684328]","[4.10687709044811, 0.9369563213047523, 2.398641397073734]"
14,2,4,0.018131610883752185,0.007252644353500874,7.542750127640909,3.0171000510563637,"[0.008831789015330938, 0.008053652993389325, 0.0147702705247596]","[0.003532715606132379, 0.0032214611973557313, 0.005908108209903847]","[3.67402423037767, 3.3503196452499595, 6.144432538299994]","[1.4696096921510697, 1.3401278580999842, 2.4577730153200004]"
15,2,1,0.02037571076580936,0.008150284306323741,8.476295678576694,3.3905182714306767,"[0.010743870680931033, 0.01300300205777519, 0.013187605283112478]","[0.004297548272372413, 0.005201200823110083, 0.005275042113244989]","[4.46945020326731, 5.40924885603448, 5.486043797774791]","[1.7877800813069236, 2.1636995424137946, 2.194417519109915]"
16,1,2,0.029427927445313126,0.005885585489062635,12.242017817250261,2.448403563450056,"[0.00885899775618405, 0.011551319767181763, 0.025374482344421342]","[0.001771799551236812, 0.0023102639534363528, 0.005074896468884261]","[3.685343066572565, 4.805349023147613, 10.555784655279279]","[0.7370686133145138, 0.9610698046295227, 2.1111569310558527]"
