trial_number,alpha_id,traj_id,human_ave,robot_ave,overall_ave,human_total,robot_total,overall_total,human_dim_ave,robot_dim_ave,overall_dim_ave,human_dim_total,robot_dim_total,overall_dim_total
1,3,5,0.03729605773372201,0.022981845269484304,0.021205621256371557,15.515160017228355,9.56044763210547,8.821538442650567,"[0.05447803137979022, 0.02422466571639493, 0.02340417992254045]","[0.0, 0.0, 0.022981845269484304]","[0.03268681882787412, 0.014534799429836947, 0.012893455861548055]","[22.66286105399273, 10.077460938020291, 9.736138847776827]","[0.0, 0.0, 9.56044763210547]","[13.597716632395635, 6.0464765628121695, 5.363677638403991]"
2,3,1,0.02563492206980528,0.02230948571009693,0.012323558481164617,10.664127581038997,9.280746055400323,5.12660032816448,"[0.010357183196590005, 0.01693489858166027, 0.014798088361900079]","[0.0, 0.0, 0.02230948571009693]","[0.006214309917954015, 0.010160939148996167, 0.005324467232295501]","[4.308588209781442, 7.044917809970672, 6.1560047585504325]","[0.0, 0.0, 9.280746055400323]","[2.5851529258688704, 4.2269506859824055, 2.2149783686349283]"
3,3,3,0.036559778779537415,0.022774016811153555,0.02082063576657004,15.208867972287564,9.473990993439878,8.661384478893137,"[0.05143204304076153, 0.021124367909593586, 0.02773452515079048]","[0.0, 0.0, 0.022774016811153555]","[0.030859225824456916, 0.012674620745756147, 0.013986643132176159]","[21.395729904956795, 8.787737050390932, 11.53756246272884]","[0.0, 0.0, 9.473990993439878]","[12.837437942974077, 5.272642230234557, 5.818443542985282]"
4,3,4,0.027558980218254165,0.024430745429344737,0.01806156866927918,11.464535770793733,10.16319009860741,7.513612566420139,"[0.05529147279286813, 0.013263438350542502, 0.021110276908926938]","[0.0, 0.0, 0.024430745429344737]","[0.03317488367572088, 0.007958063010325507, 0.015011142362986661]","[23.00125268183314, 5.517590353825681, 8.781875194113606]","[0.0, 0.0, 10.16319009860741]","[13.800751609099885, 3.310554212295411, 6.244635223002451]"
5,3,4,0.022986807504414373,0.024430745429344737,0.016779126199975614,9.562511921836379,10.16319009860741,6.980116499189855,"[0.05826744253656741, 0.015087755454478725, 0.0155202758434675]","[0.0, 0.0, 0.024430745429344737]","[0.03496046552194046, 0.009052653272687243, 0.013019079002205882]","[24.239256095212042, 6.27650626906315, 6.45643475088248]","[0.0, 0.0, 10.16319009860741]","[14.54355365712723, 3.765903761437893, 5.415936864917647]"
6,3,2,0.02192431931894526,0.025249762842388262,0.014146983493909684,9.120516836681228,10.503901342433517,5.885145133466429,"[0.017668775019966165, 0.007404037733403942, 0.018785547435106905]","[0.0, 0.0, 0.025249762842388262]","[0.010601265011979702, 0.004442422640042367, 0.011396113493758435]","[7.350210408305925, 3.08007969709604, 7.814787733004473]","[0.0, 0.0, 10.503901342433517]","[4.410126244983556, 1.8480478182576248, 4.740783213403509]"
7,5,4,0.01530700637035964,0.024430745429344737,0.01530700637035964,6.36771465006961,10.16319009860741,6.36771465006961,"[0.02343003318610804, 0.00929647734478716, 0.01056508341612463]","[0.0, 0.0, 0.024430745429344737]","[0.02343003318610804, 0.00929647734478716, 0.01056508341612463]","[9.746893805420946, 3.8673345754314585, 4.395074701107847]","[0.0, 0.0, 10.16319009860741]","[9.746893805420946, 3.8673345754314585, 4.395074701107847]"
8,5,2,0.016599983240291,0.025249762842388262,0.016599983240291,6.905593027961057,10.503901342433517,6.905593027961057,"[0.038369805885101735, 0.0067512908314954715, 0.014225764713338453]","[0.0, 0.0, 0.025249762842388262]","[0.038369805885101735, 0.0067512908314954715, 0.014225764713338453]","[15.96183924820232, 2.808536985902116, 5.917918120748796]","[0.0, 0.0, 10.503901342433517]","[15.96183924820232, 2.808536985902116, 5.917918120748796]"
9,5,5,0.02005784160948238,0.022981845269484304,0.02005784160948238,8.344062109544671,9.56044763210547,8.344062109544671,"[0.03844622363701845, 0.008272173829412314, 0.016580176965599634]","[0.0, 0.0, 0.022981845269484304]","[0.03844622363701845, 0.008272173829412314, 0.016580176965599634]","[15.993629032999678, 3.4412243130355225, 6.897353617689447]","[0.0, 0.0, 9.56044763210547]","[15.993629032999678, 3.4412243130355225, 6.897353617689447]"
10,5,3,0.019801241520504373,0.022774016811153555,0.019801241520504373,8.23731647252982,9.473990993439878,8.23731647252982,"[0.03389251772640405, 0.008972199403679874, 0.01598675676791047]","[0.0, 0.0, 0.022774016811153555]","[0.03389251772640405, 0.008972199403679874, 0.01598675676791047]","[14.099287374184087, 3.732434951930828, 6.6504908154507545]","[0.0, 0.0, 9.473990993439878]","[14.099287374184087, 3.732434951930828, 6.6504908154507545]"
11,5,1,0.08337698574643773,0.02233690450840456,0.08337698574643773,34.60144908477166,9.269815370987892,34.60144908477166,"[0.027241245415095174, 0.07470303614457831, 0.023303283135412012]","[0.0, 0.0, 0.02233690450840456]","[0.027241245415095174, 0.07470303614457831, 0.023303283135412012]","[11.305116847264497, 31.001759999999997, 9.670862501195986]","[0.0, 0.0, 9.269815370987892]","[11.305116847264497, 31.001759999999997, 9.670862501195986]"
