trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
1,5,1,0.02616323457057363,0.02616323457057363,10.883905581358631,10.883905581358631,"[0.031211260959583438, 0.014076275459380365, 0.01820140755990609]","[0.031211260959583438, 0.014076275459380365, 0.01820140755990609]","[12.983884559186711, 5.8557305911022315, 7.5717855449209335]","[12.983884559186711, 5.8557305911022315, 7.5717855449209335]"
2,5,2,0.024553039353320094,0.024553039353320094,10.18951133162784,10.18951133162784,"[0.04624660154970002, 0.016299903692730933, 0.016181779105981623]","[0.04624660154970002, 0.016299903692730933, 0.016181779105981623]","[19.192339643125507, 6.764460032483337, 6.715438328982374]","[19.192339643125507, 6.764460032483337, 6.715438328982374]"
3,5,3,0.021049662254824124,0.021049662254824124,8.756659498006835,8.756659498006835,"[0.04012896018937548, 0.01136647078154064, 0.016234802258941385]","[0.04012896018937548, 0.01136647078154064, 0.016234802258941385]","[16.6936474387802, 4.728451845120906, 6.753677739719617]","[16.6936474387802, 4.728451845120906, 6.753677739719617]"
4,5,4,0.020171472762290858,0.020171472762290858,8.391332669112996,8.391332669112996,"[0.026768762677256357, 0.013914890475202725, 0.013255619358979882]","[0.026768762677256357, 0.013914890475202725, 0.013255619358979882]","[11.135805273738644, 5.788594437684334, 5.514337653335631]","[11.135805273738644, 5.788594437684334, 5.514337653335631]"
5,5,5,0.023315458664480176,0.023315458664480176,9.675915345759273,9.675915345759273,"[0.03153364941506459, 0.009560163430203975, 0.019087666379137364]","[0.03153364941506459, 0.009560163430203975, 0.019087666379137364]","[13.086464507251804, 3.96746782353465, 7.921381547342006]","[13.086464507251804, 3.96746782353465, 7.921381547342006]"
6,3,5,0.01378289207785739,0.008269735246714434,5.719900212310817,3.43194012738649,"[0.010298360611062733, 0.0059315061821963696, 0.011460932836116348]","[0.006179016366637632, 0.0035589037093178236, 0.006876559701669821]","[4.273819653591034, 2.4615750656114934, 4.756287126988284]","[2.5642917921546173, 1.4769450393668968, 2.853772276192976]"
7,3,3,0.020160549239466034,0.012096329543679618,8.38678848361787,5.032073090170721,"[0.011345253641207755, 0.010859693020879203, 0.014739698488767959]","[0.006807152184724654, 0.00651581581252751, 0.008843819093260766]","[4.719625514742426, 4.517632296685749, 6.131714571327471]","[2.8317753088454563, 2.710579378011444, 3.679028742796479]"
8,3,2,0.016188013793668028,0.009712808276200817,6.7342137381658995,4.04052824289954,"[0.005919038611265261, 0.006607789409560484, 0.013896143190817289]","[0.0035514231667591522, 0.0039646736457362875, 0.008337685914490387]","[2.4623200622863486, 2.748840394377161, 5.780795567379992]","[1.4773920373718072, 1.6493042366262958, 3.4684773404280014]"
9,3,4,0.019439062510752777,0.011663437506451681,8.086650004473155,4.851990002683899,"[0.02508273304478226, 0.014275339240156844, 0.009709852391683364]","[0.015049639826869354, 0.008565203544094112, 0.005825911435010012]","[10.43441694662942, 5.938541123905247, 4.03929859494028]","[6.260650167977651, 3.5631246743431504, 2.423579156964165]"
10,3,1,0.020835180814476797,0.012501108488686092,8.667435218822348,5.200461131293414,"[0.03261978711772191, 0.016307522916668288, 0.010222845488850598]","[0.019571872270633155, 0.00978451375000097, 0.006133707293310358]","[13.569831440972315, 6.783929533334008, 4.252703723361849]","[8.141898864583393, 4.070357720000403, 2.551622234017109]"
