pid,autonomy,auto_grouped,human_traj_err,robot_traj_err,overall_traj_err,tapping_err_short,tapping_err_long,tapping_err_ave,pupil_diameter,left_index,right_index,pupil_index,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_counton,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,per_auto,single_trust,order,trust_tech,play_games,play_music,noisy_robot
1,0.6,high,2.1913590150114253,0.0,0.8765436060045724,-1.3648155331611556,1.995972472208504,0.2861981662499993,2.85798158625,2.035227272727273,2.077272727272728,2.0562500000000004,3.0,3.0,6.0,3.0,3.0,5.0,3.8333333333333335,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8,8.0,inc,7,7,1,no
1,0.8,high,3.25521032321114,0.0,0.6510420646422225,4.734839664565191,10.37364582220715,7.354606907749999,2.8283055625,2.035227272727273,2.077272727272728,2.0562500000000004,1.0,1.0,1.0,1.0,1.0,2.0,1.1666666666666667,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.75,6.75,6.75,9,9.0,inc,7,7,1,no
1,0.4,low,2.0183142283203703,0.0,1.2109885369922226,3.1827259063720703,-0.681571960449219,1.0478321272500013,3.563735655625,2.159375,2.17421875,2.166796875,14.0,16.0,9.0,6.0,12.0,5.0,10.333333333333334,6.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,6.25,6.125,8,5.0,inc,7,7,1,no
1,0.0,low,1.9257442191402567,0.0,1.9257442191402567,-3.115845421950007,-3.1439630107747267,-3.18027827175,3.860037154375,2.159375,2.17421875,2.166796875,18.0,4.485714285714286,18.0,9.0,11.0,12.0,6.7285714285714295,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.25,2.5,2.875,6,3.0,inc,7,7,1,no
1,0.2,low,1.58189662523382,0.0,1.2655173001870526,4.6449032425880326,10.739345724384018,7.369105978999999,3.470474974375,2.159375,2.17421875,2.166796875,7.0,7.0,7.0,4.0,5.0,9.0,6.5,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.25,6.5,6.375,9,6.0,inc,7,7,1,no
2,0.6,high,2.399392360196265,0.0,0.9597569440785,-3.78555138905841,5.660797641785079,0.1931992202499994,3.0146836099089875,2.575,2.3,2.4375,5.0,4.0,4.0,4.0,3.0,6.0,4.333333333333333,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9,9.0,dec,6,2,1,no
2,0.4,low,2.290806303524943,0.0,1.3744837821149625,-5.837513854106276,3.2609739899635626,-1.8278318790000008,3.074164569448257,2.4250000000000003,2.15,2.2875,12.0,2.0,3.0,5.0,3.0,11.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6,7.0,dec,6,2,1,no
2,0.0,low,1.5758656991893525,0.0,1.5758656991893525,4.565791587034877,4.967360446850457,4.684993782500001,3.5504493107684345,2.084090909090909,0.5,0.4625,5.0,3.0,5.0,5.0,5.0,14.0,6.166666666666667,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.5,3.25,3.375,5,4.0,dec,6,2,1,no
2,0.2,low,1.5425427297567225,0.0,1.2340341838053774,-2.715158462524414,7.788607478141784,1.9531819545,2.816876431585116,2.15,1.9250000000000005,2.0375,5.0,3.0,4.0,4.0,4.0,14.0,5.666666666666667,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5,6,6.0,dec,6,2,1,no
2,0.8,high,3.52597080352484,0.0,0.705194160704965,3.0307549238204863,8.904729866319233,5.641410454249999,3.086886065371603,1.775,1.725,1.75,4.0,3.0,3.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9,9.0,dec,6,2,1,no
