trial_number,alpha_id,traj_id,human_ave,overall_ave,human_total,overall_total,human_dim_ave,overall_dim_ave,human_dim_total,overall_dim_total
1,5,1,0.019561381602207103,0.019561381602207103,8.137534746518154,8.137534746518154,"[0.008907850587468869, 0.008933047327154076, 0.015543541047333244]","[0.008907850587468869, 0.008933047327154076, 0.015543541047333244]","[3.7056658443870494, 3.7161476880960955, 6.46611307569063]","[3.7056658443870494, 3.7161476880960955, 6.46611307569063]"
2,5,2,0.026420881588721887,0.026420881588721887,10.991086740908305,10.991086740908305,"[0.04174885548737538, 0.009974564066340737, 0.023123663739643443]","[0.04174885548737538, 0.009974564066340737, 0.023123663739643443]","[17.367523882748156, 4.149418651597746, 9.619444115691673]","[17.367523882748156, 4.149418651597746, 9.619444115691673]"
3,5,3,0.018000805216362995,0.018000805216362995,7.488334970007005,7.488334970007005,"[0.036626881826595695, 0.00848206505237645, 0.014232853228493334]","[0.036626881826595695, 0.00848206505237645, 0.014232853228493334]","[15.23678283986381, 3.528539061788604, 5.920866943053227]","[15.23678283986381, 3.528539061788604, 5.920866943053227]"
4,5,4,0.015779940860445252,0.015779940860445252,6.564455397945225,6.564455397945225,"[0.01365349708346485, 0.006278091760019033, 0.013474405217953112]","[0.01365349708346485, 0.006278091760019033, 0.013474405217953112]","[5.679854786721378, 2.611686172167918, 5.605352570668495]","[5.679854786721378, 2.611686172167918, 5.605352570668495]"
5,5,5,0.021354012691031432,0.021354012691031432,8.883269279469076,8.883269279469076,"[0.05146035839825176, 0.00970762118107995, 0.017634422515611203]","[0.05146035839825176, 0.00970762118107995, 0.017634422515611203]","[21.407509093672733, 4.038370411329259, 7.335919766494261]","[21.407509093672733, 4.038370411329259, 7.335919766494261]"
6,3,1,0.034080228165257395,0.020448136899154444,14.177374916747075,8.506424950048249,"[0.059546645830332215, 0.013015628168276406, 0.029695434219238943]","[0.035727987498199325, 0.007809376900965831, 0.017817260531543373]","[24.771404665418203, 5.414501318002985, 12.3533006352034]","[14.86284279925092, 3.2487007908017858, 7.411980381122043]"
7,3,4,0.023344513417983766,0.014006708050790257,9.711317581881246,5.826790549128747,"[0.04616427326916005, 0.009981136937966708, 0.019948982183751355]","[0.027698563961496038, 0.0059886821627800286, 0.011969389310250825]","[19.20433767997058, 4.1521529661941505, 8.298776588440564]","[11.522602607982352, 2.4912917797164917, 4.979265953064344]"
8,3,2,0.03662546670685381,0.021975280024112285,15.19956868334433,9.119741210006598,"[0.06918836482013144, 0.011555846669270023, 0.03220008449536924]","[0.04151301889207886, 0.006933508001562009, 0.019320050697221553]","[28.713171400354547, 4.79567636774706, 13.363035065578234]","[17.227902840212728, 2.877405820648234, 8.017821039346945]"
9,3,5,0.016746718941288954,0.010048031364773379,6.966635079576204,4.179981047745725,"[0.017791233017978313, 0.009039207679078379, 0.012127739334458949]","[0.010674739810787, 0.005423524607447035, 0.007276643600675365]","[7.4011529354789785, 3.7603103944966056, 5.0451395631349225]","[4.440691761287392, 2.2561862366979666, 3.0270837378809516]"
10,3,3,0.019457900556940886,0.011674740334164546,8.094486631687408,4.856691979012451,"[0.010628705239850465, 0.008175928184005843, 0.01556685606748699]","[0.006377223143910282, 0.004905556910403504, 0.009340113640492196]","[4.421541379777794, 3.4011861245464305, 6.475812124074588]","[2.652924827866677, 2.0407116747278575, 3.8854872744447535]"
11,2,5,0.02839673540222776,0.011358694160891105,11.813041927326749,4.725216770930699,"[0.05339552871354746, 0.011028877838431912, 0.023667252719167073]","[0.021358211485418985, 0.00441155113537277, 0.009466901087666835]","[22.212539944835743, 4.588013180787676, 9.845577131173503]","[8.885015977934298, 1.8352052723150725, 3.9382308524694034]"
12,2,3,0.023179884451255833,0.00927195378050233,9.61965204727117,3.847860818908467,"[0.017306383622441922, 0.011580812608464238, 0.01802067511811331]","[0.006922553448976765, 0.004632325043385698, 0.007208270047245337]","[7.182149203313397, 4.806037232512659, 7.478580174017024]","[2.8728596813253575, 1.9224148930050646, 2.991432069606815]"
13,2,4,0.01819908388918994,0.007279633555675975,7.570818897903014,3.0283275591612053,"[0.05654292219813924, 0.012853549348071175, 0.010729268355593617]","[0.022617168879255682, 0.005141419739228473, 0.004291707342237449]","[23.521855634425922, 5.347076528797609, 4.463375635926945]","[9.408742253770363, 2.1388306115190447, 1.7853502543707787]"
14,2,2,0.02683190064218509,0.010732760256874033,11.162070667148997,4.464828266859598,"[0.06309830924704662, 0.017483413875697358, 0.017648475025676767]","[0.025239323698818626, 0.006993365550278943, 0.0070593900102707005]","[26.248896646771396, 7.273100172290102, 7.341765610681535]","[10.499558658708548, 2.90924006891604, 2.9367062442726115]"
15,2,1,0.0323438259267178,0.012937530370687116,13.455031585514604,5.38201263420584,"[0.08721761606277093, 0.015023545101617328, 0.02655834681882729]","[0.034887046425108384, 0.006009418040646934, 0.010623338727530915]","[36.28252828211271, 6.249794762272809, 11.048272276632153]","[14.513011312845089, 2.4999179049091245, 4.419308910652861]"
16,1,3,0.0369480887722473,0.007389617754449456,15.370404929254876,3.0740809858509737,"[0.08566502746505435, 0.01349121505509336, 0.032840394267879665]","[0.017133005493010885, 0.0026982430110186746, 0.006568078853575935]","[35.63665142546261, 5.612345462918838, 13.66160401543794]","[7.127330285092528, 1.1224690925837686, 2.732320803087589]"
17,1,2,0.03989443988860996,0.007978887977721994,16.596086993661743,3.31921739873235,"[0.057365239808718334, 0.028318169983349413, 0.023511957323464408]","[0.011473047961743678, 0.00566363399666989, 0.004702391464692886]","[23.863939760426828, 11.780358713073356, 9.780974246561193]","[4.77278795208537, 2.3560717426146742, 1.9561948493122405]"
18,1,5,0.0302540207204634,0.006050804144092687,12.585672619712774,2.5171345239425578,"[0.0728921665335393, 0.017738121643891543, 0.0197617461257442]","[0.014578433306707848, 0.0035476243287783033, 0.003952349225148839]","[30.32314127795235, 7.379058603858882, 8.220886388309587]","[6.064628255590465, 1.4758117207717742, 1.644177277661917]"
19,1,1,0.03523183420850399,0.007046366841700794,14.656443030737659,2.9312886061475303,"[0.08668539506116525, 0.023247103536367036, 0.023624172538490903]","[0.01733707901223305, 0.004649420707273407, 0.004724834507698181]","[36.061124345444746, 9.670795071128687, 9.827655776012216]","[7.212224869088948, 1.9341590142257374, 1.9655311552024433]"
