trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
1,0,0,2,120,0.10549409,12.47509094,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5]","[0.0, 0.41242313385009766, 1.6953904628753662, 2.129897117614746, 3.492971420288086, 3.925589084625244, 5.326801776885986, 5.761541366577148]","[0.6783628463745117, 0.8261260986328125, 1.0907859802246094, 1.2248005867004395, 2.373753309249878, 2.4911439418792725, 2.808259963989258, 2.9071297645568848, 4.171334266662598, 4.2830140590667725, 4.603951930999756, 4.688738822937012, 6.005164623260498, 6.121932029724121, 6.43990421295166, 6.540560483932495]","[-0.08757686614990234, -0.21703267097473145, -0.06549334526062012, -0.13692569732666016, -0.0673823356628418, -0.09878730773925781, -0.06526041030883789]","[-17.51537322998047, -14.468844731648764, -13.098669052124023, -9.128379821777344, -13.47646713256836, -6.5858205159505205, -13.052082061767578]"
2,3,1,2,120,0.110686991,17.55292327,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5]","[0.0, 0.45203351974487305, 1.768963098526001, 2.1556198596954346, 3.6370091438293457, 3.9885995388031006, 5.440079212188721, 5.805402755737305, 7.3646533489227295, 7.622318267822266]","[1.084413766860962, 1.2584409713745117, 1.536447286605835, 1.650693655014038, 2.853376865386963, 2.9904990196228027, 3.2400336265563965, 3.34061861038208, 4.721422910690308, 4.839815616607666, 5.0730133056640625, 5.18656325340271, 6.524492979049683, 6.656515121459961, 6.889816522598267, 6.972520351409912, 8.449067115783691, 8.556819677352905, 8.706732034683228, 8.814922332763672]","[-0.04796648025512695, -0.18307042121887207, -0.1133432388305664, -0.018610715866088867, -0.14840960502624512, -0.04852032661437988, -0.13467645645141602, 0.059250593185424805, -0.24233508110046387]","[-9.59329605102539, -12.204694747924805, -22.66864776611328, -1.2407143910725913, -29.681921005249023, -3.2346884409586587, -26.935291290283203, 3.950039545694987, -48.46701622009277]"
3,3,3,2,120,0.233872342,22.82083035,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3935713768005371, 1.549931287765503, 1.9645888805389404, 3.2158591747283936, 3.5977768898010254, 4.64839243888855, 5.049354076385498, 6.265652894973755, 6.632344007492065, 7.661276578903198]","[0.9781556129455566, 1.1362433433532715, 1.3717269897460938, 1.5052745342254639, 2.5280869007110596, 2.674088954925537, 2.942744493484497, 3.03983473777771, 4.19401478767395, 4.33848237991333, 4.575932502746582, 4.689309120178223, 5.6265480518341064, 5.759544134140015, 6.027509689331055, 6.143173456192017, 7.2438085079193115, 7.3753578662872314, 7.610499620437622, 7.709935426712036, 8.639432191848755, 8.725696802139282, 8.992165088653564, 9.089182615280151, 9.96045732498169, 10.109686613082886, 10.322571039199829, 10.426146507263184]","[-0.10642862319946289, -0.3436400890350342, -0.0853424072265625, -0.24872970581054688, -0.11808228492736816, -0.4493844509124756, -0.09903836250305176, -0.28370118141174316, -0.13330888748168945, -0.4710674285888672]","[-21.285724639892578, -22.90933926900228, -17.0684814453125, -16.58198038736979, -23.616456985473633, -29.95896339416504, -19.80767250061035, -18.91341209411621, -26.66177749633789, -31.404495239257812]"
4,3,5,2,120,0.318911862,28.86954784,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3465156555175781, 1.4653470516204834, 1.8949761390686035, 3.19490385055542, 3.6124773025512695, 4.7760841846466064, 5.1598663330078125, 6.240739583969116, 6.59258246421814, 6.8108813762664795]","[0.7676379680633545, 0.8781235218048096, 1.1141536235809326, 1.2479357719421387, 2.232985019683838, 2.3792502880096436, 2.662614107131958, 2.794365644454956, 3.9625418186187744, 4.095041751861572, 4.380115270614624, 4.495143890380859, 5.543722152709961, 5.6771674156188965, 5.927504301071167, 6.027434349060059, 7.008377552032471, 7.1287150382995605, 7.360220432281494, 7.440734148025513, 7.578519344329834, 7.661491870880127, 7.8464555740356445, 7.911691427230835, 9.39290452003479, 9.494874954223633, 9.711345911026001, 9.80865478515625]","[-0.15348434448242188, -0.3811686038970947, -0.07037091255187988, -0.2000722885131836, -0.08242654800415039, -0.3363931179046631, -0.11621785163879395, -0.4191267490386963, -0.14815711975097656, -1.2817010879516602]","[-30.696868896484375, -25.411240259806316, -14.074182510375977, -13.338152567545572, -16.485309600830078, -22.426207860310875, -23.24357032775879, -27.941783269246418, -29.631423950195312, -85.44673919677734]"
5,3,4,2,120,0.216538048,22.78337161,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3780324459075928, 1.6226048469543457, 2.0237462520599365, 3.289689540863037, 3.655822277069092, 4.902521133422852, 5.256398677825928, 6.306248664855957, 6.681001901626587, 7.834619522094727]","[0.6642084121704102, 0.7905876636505127, 1.042240858078003, 1.1666431427001953, 2.286813259124756, 2.4168832302093506, 2.6879546642303467, 2.796335220336914, 3.9538979530334473, 4.066595792770386, 4.320030689239502, 4.4163734912872314, 5.566729545593262, 5.68316650390625, 5.920607089996338, 6.001645088195801, 6.970457077026367, 7.069307327270508, 7.345210313796997, 7.4202868938446045, 8.498827934265137, 8.586737871170044, 8.83312463760376, 8.918915748596191, 9.687177419662476, 9.854181051254272, 10.482915163040161, 10.499208450317383]","[-0.12196755409240723, -0.25542759895324707, -0.09885859489440918, -0.23405671119689941, -0.1338672637939453, -0.25330114364624023, -0.14612245559692383, -0.4501500129699707, -0.12524676322937012, -0.34638237953186035]","[-24.393510818481445, -17.02850659688314, -19.771718978881836, -15.603780746459961, -26.773452758789062, -16.88674290974935, -29.224491119384766, -30.010000864664715, -25.049352645874023, -23.09215863545736]"
6,3,2,2,120,0.214210606,22.45304743,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3871734142303467, 1.602403163909912, 1.9796080589294434, 3.194664478302002, 3.5826337337493896, 4.978153228759766, 5.280059814453125, 6.275023698806763, 6.707844018936157, 7.857893943786621]","[0.5186018943786621, 0.6512875556945801, 0.9057753086090088, 1.0305976867675781, 2.121005058288574, 2.2475736141204834, 2.4982099533081055, 2.614668607711792, 3.713266372680664, 3.8463571071624756, 4.101235628128052, 4.201549053192139, 5.496755123138428, 5.596643924713135, 5.798661708831787, 5.880486011505127, 6.793625593185425, 6.897357940673828, 7.226445913314819, 7.313262939453125, 8.376495838165283, 8.513312101364136, 8.793222904205322, 8.881051540374756]","[-0.11282658576965332, -0.28477025032043457, -0.12279510498046875, -0.2849435806274414, -0.1120307445526123, -0.10448050498962402, -0.19809341430664062, -0.5050361156463623, -0.06717967987060547, -0.34995007514953613]","[-22.565317153930664, -18.98468335469564, -24.55902099609375, -18.996238708496094, -22.40614891052246, -6.9653669993082685, -39.618682861328125, -33.66907437642415, -13.435935974121094, -23.330005009969078]"
7,0,0,5,135,0.201306049,19.02263562,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555]","[0.0, 0.37384867668151855, 1.2543516159057617, 1.6362035274505615, 2.62919282913208, 3.0453996658325195, 4.002599716186523, 4.417097091674805, 5.343464612960815, 5.743801116943359]","[-0.11799311637878418, -0.02061629295349121, 0.2558555603027344, 0.3596024513244629, 1.1363584995269775, 1.241687536239624, 1.5182104110717773, 1.625523328781128, 2.511199712753296, 2.6227216720581055, 2.9274065494537354, 3.039764165878296, 3.8846065998077393, 3.975255250930786, 4.2991039752960205, 4.375518560409546, 5.225471496582031, 5.342406988143921, 5.625808000564575, 5.709182024002075]","[-0.07059576776292587, -0.4528303941090901, -0.06259253289964484, -0.3403440316518145, -0.02823760774400519, -0.37613328297932913, -0.029947068956163392, -0.4069658120473223, -0.044107940461900697]","[-15.88404774665832, -33.962279558181756, -14.083319902420083, -25.52580237388609, -6.353461742401165, -28.20999622344969, -6.7380905151367605, -30.522435903549177, -9.924286603927653]"
8,2,2,5,135,0.176960042,20.36964081,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3443312644958496, 1.421452283859253, 1.7463908195495605, 2.729240894317627, 3.1135029792785645, 4.091456413269043, 4.474876642227173, 5.544278383255005, 5.895313739776611, 7.028587102890015, 7.386772871017456]","[0.412017822265625, 0.5367574691772461, 0.7563490867614746, 0.870295524597168, 1.833470106124878, 1.9406821727752686, 2.1584086418151855, 2.2731740474700928, 3.141258716583252, 3.240401029586792, 3.5255208015441895, 3.6240553855895996, 4.503474235534668, 4.640853404998779, 4.886894464492798, 5.00044584274292, 5.95629620552063, 6.073239803314209, 6.307331562042236, 6.3740081787109375, 7.44060492515564, 7.557373046875, 7.798790693283081, 7.891304016113281, 8.93666958808899, 9.032285213470459, 9.240375280380249, 9.337087631225586]","[-0.10011317994859481, -0.25621231396992994, -0.11950590875413702, -0.35048325856526663, -0.06018235948350714, -0.3553798993428545, -0.06102421548631476, -0.263931592305501, -0.0934090879228382, -0.2000599702199306, -0.08625867631700324]","[-22.52546548843383, -19.215923547744744, -26.888829469680818, -26.286244392395, -13.541030883789102, -26.653492450714094, -13.730448484420815, -19.79486942291258, -21.017044782638585, -15.00449776649479, -19.40820217132572]"
9,2,4,5,135,0.189771248,20.21407106,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3496537208557129, 1.3814446926116943, 1.7620854377746582, 2.844761848449707, 3.237509250640869, 4.294876575469971, 4.66276478767395, 5.604406833648682, 5.974614381790161, 6.878943920135498, 7.245849609375]","[0.5611519813537598, 0.6912386417388916, 0.9108057022094727, 1.0166480541229248, 1.942596673965454, 2.0861928462982178, 2.323237419128418, 2.422708034515381, 3.405913829803467, 3.5236730575561523, 3.798661231994629, 3.875312566757202, 4.8560285568237305, 4.952515363693237, 5.22391676902771, 5.2715442180633545, 6.165558815002441, 6.275055408477783, 6.535766363143921, 6.623061418533325, 7.440095901489258, 7.575647592544556, 7.80700159072876, 7.922045469284058, 8.689467191696167, 8.789118528366089, 9.056479215621948, 9.17251181602478]","[-0.09479072358873153, -0.3015423615773518, -0.06380369928148077, -0.2506569226582842, -0.05169704225328253, -0.2759660085042315, -0.07655623224046515, -0.3916912873586016, -0.07423689630296515, -0.429003794987997, -0.07753875520494269]","[-21.327912807464593, -22.615677118301384, -14.355832338333169, -18.79926919937132, -11.631834506988564, -20.697450637817365, -17.22515225410465, -29.376846551895124, -16.70330166816715, -32.17528462409976, -17.446219921112096]"
10,2,1,5,135,0.171290687,18.92808026,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.4010658264160156, 1.4969830513000488, 1.8804903030395508, 3.0008492469787598, 3.333284616470337, 4.26343846321106, 4.647259950637817, 5.817445755004883, 6.135274410247803, 7.047088146209717, 7.449135780334473]","[0.5352675914764404, 0.6723437309265137, 0.936333417892456, 1.036195993423462, 2.0322506427764893, 2.155992031097412, 2.415757894515991, 2.5118470191955566, 3.5361168384552, 3.632437229156494, 3.8685522079467773, 3.984299659729004, 4.7987060546875, 4.9017174243927, 5.182527542114258, 5.310418605804443, 6.352713346481323, 6.432198524475098, 6.670542001724243, 6.782210350036621, 7.582355737686157, 7.728330612182617, 7.984403371810913, 8.096970319747925, 9.084954977035522, 9.16542935371399, 9.4356050491333, 9.53606653213501]","[-0.043378618028428795, -0.23741610844930006, -0.06093719270494269, -0.21297438939412405, -0.1120090749528675, -0.4031794865926104, -0.06062295701768683, -0.1631475289662676, -0.12661578920152472, -0.42151959737141986, -0.04239681031968878]","[-9.760189056396479, -17.806208133697503, -13.7108683586121, -15.973079204559307, -25.202041864395174, -30.238461494445783, -13.640165328979531, -12.236064672470073, -28.48855257034305, -31.613969802856474, -9.539282321929972]"
