StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q3,Q4,Q5_1,Q5_2,Q5_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Please select your gender: - Selected Choice,Please select your gender: - Other (please specify): - Text,Please enter your age:,Are you right / left handed?,Please read the following sentences and indicate the extent to which you agree with them. - I usually trust new technology until it gives me a reason not to.,Please read the following sentences and indicate the extent to which you agree with them. - I play video games regularly.,Please read the following sentences and indicate the extent to which you agree with them. - I play a musical instrument and can play it well.
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_3_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}"
11/09/2023 14:04,11/09/2023 14:04,0,128.250.0.206,100,42,1,11/09/2023 14:04,R_2V3gQ6rpRxLmMQZ,,,,,-37.8159,144.9669,anonymous,EN,P1,2,,25,3,7,7,1
11/09/2023 15:34,11/09/2023 15:34,0,128.250.0.206,100,32,1,11/09/2023 15:34,R_1eP29BeI1bQJDHX,,,,,-37.8159,144.9669,anonymous,EN,P2,1,,26,1,6,2,1
11/09/2023 16:58,11/09/2023 16:58,0,128.250.0.206,100,46,1,11/09/2023 16:58,R_1H1XkbYImO23Uyh,,,,,-37.8159,144.9669,anonymous,EN,P3,1,,20,1,6,1,2
11/09/2023 18:19,11/09/2023 18:20,0,128.250.0.206,100,33,1,11/09/2023 18:20,R_2BwE2rC02KRPLgM,,,,,-37.8159,144.9669,anonymous,EN,P4,2,,27,1,6,6,3
12/09/2023 8:59,12/09/2023 8:59,0,128.250.0.206,100,45,1,12/09/2023 8:59,R_sXKO3QztdD4MjLP,,,,,-37.8159,144.9669,anonymous,EN,P5,1,,28,1,7,1,1
12/09/2023 10:35,12/09/2023 10:38,0,128.250.0.206,100,175,1,12/09/2023 10:38,R_1K7RDVUq4jQTHnf,,,,,-37.8159,144.9669,anonymous,EN,P6,2,,25,1,5,6,2
12/09/2023 12:01,12/09/2023 12:02,0,128.250.0.206,100,51,1,12/09/2023 12:02,R_2EbnZMEniFmoDvW,,,,,-37.8159,144.9669,anonymous,EN,P7,1,,21,1,6,1,1
12/09/2023 13:53,12/09/2023 13:53,0,128.250.0.206,100,52,1,12/09/2023 13:53,R_uw9bLFTubUmfcaZ,,,,,-37.8159,144.9669,anonymous,EN,P8,1,,32,1,6,2,2
