StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_10,Q3_11,Q3_12,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5_1,Q5_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Alpha ID,NASA-TLX - How mentally fatiguing was the procedure?,NASA-TLX - How physically fatiguing was the procedure?,NASA-TLX - How hurried or rushed was the pace of the procedure?,"NASA-TLX - How insecure, discouraged, irritated, stressed and annoyed were you?",NASA-TLX - How hard did you have to work to accomplish your level of performance?,NASA-TLX - How successful were you in accomplishing that you were asked to do?,MDMT - Reliable,MDMT - Capable,MDMT - Predictable,MDMT - Skilled,MDMT - Someone you can count on,MDMT - Competent,MDMT - Consistent,MDMT - Meticulous,Perceived autonomy & trust - How autonomous did you feel the robot was?,Perceived autonomy & trust - How much did you trust the robot?
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_4""}"
11/09/2023 14:27,11/09/2023 14:29,0,128.250.0.206,100,109,1,11/09/2023 14:29,R_PYCdUbrgMaJf3Xj,,,,,-37.8159,144.9669,anonymous,EN,P1,3,14,16,9,6,12,16,7,8,7,8,8,7,6,6,8,5
11/09/2023 14:34,11/09/2023 14:35,0,128.250.0.206,100,57,1,11/09/2023 14:35,R_114uA8OWAWN6Uxg,,,,,-37.8159,144.9669,anonymous,EN,P1,5,18,18,18,9,11,9,5,4,5,4,3,3,4,3,6,3
11/09/2023 14:40,11/09/2023 14:41,0,128.250.0.206,100,61,1,11/09/2023 14:41,R_pSifpzsSzQreLOF,,,,,-37.8159,144.9669,anonymous,EN,P1,4,7,7,7,4,5,12,8,8,7,8,7,7,7,7,9,6
11/09/2023 14:47,11/09/2023 14:47,0,128.250.0.206,100,46,1,11/09/2023 14:47,R_6WEcMKvZHBZ2ewF,,,,,-37.8159,144.9669,anonymous,EN,P1,2,3,3,6,3,3,16,8,8,8,8,8,8,8,8,8,8
11/09/2023 14:52,11/09/2023 14:53,0,128.250.0.206,100,45,1,11/09/2023 14:53,R_cZmlLf8dY47k4j7,,,,,-37.8159,144.9669,anonymous,EN,P1,1,,,,,,19,8,8,8,8,7,8,8,7,9,9
11/09/2023 15:57,11/09/2023 15:59,0,128.250.0.206,100,107,1,11/09/2023 15:59,R_Y53cDhXEyzVoZaN,,,,,-37.8159,144.9669,anonymous,EN,P2,3,12,2,3,5,3,10,6,6,6,6,6,6,6,6,6,7
11/09/2023 16:04,11/09/2023 16:06,0,128.250.0.206,100,95,1,11/09/2023 16:06,R_2WP9ERjgfPp7g35,,,,,-37.8159,144.9669,anonymous,EN,P2,2,5,4,4,4,3,15,7,7,7,7,7,7,7,7,9,9
11/09/2023 16:10,11/09/2023 16:12,0,128.250.0.206,100,72,1,11/09/2023 16:12,R_6Wn1lthW9c1iyvT,,,,,-37.8159,144.9669,anonymous,EN,P2,1,4,3,3,4,4,15,7,7,7,7,7,7,7,7,9,9
