pid,autonomy,auto_grouped,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_counton,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave,per_auto,single_trust
2,0.6,high,5.0,4.0,4.0,4.0,3.0,6.0,4.333333333333333,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9,9
2,0.8,high,4.0,3.0,3.0,4.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9,9
2,0.0,low,5.0,3.0,5.0,5.0,5.0,14.0,6.166666666666667,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.5,3.25,3.375,5,4
2,0.2,low,5.0,3.0,4.0,4.0,4.0,14.0,5.666666666666667,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5,6,6
3,0.0,low,9.0,8.0,10.0,9.0,16.0,11.0,10.5,6.0,6.0,4.0,7.0,6.0,6.0,5.0,6.0,5.25,6.25,5.75,1,10
3,0.2,low,8.0,7.0,9.0,6.0,16.0,13.0,9.833333333333334,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.25,5.75,6.0,1,10
3,0.6,high,7.0,5.0,10.0,4.0,10.0,7.0,7.166666666666667,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.75,7.0,6.875,6,10
3,0.8,high,2.0,4.0,5.0,2.0,5.0,5.0,3.8333333333333335,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,10
4,0.6,high,6.0,2.0,4.0,2.0,8.0,6.0,4.666666666666667,7.0,7.0,4.0,6.0,7.0,7.0,6.0,7.0,6.0,6.75,6.375,9,8
4,0.8,high,7.0,3.0,4.0,5.0,17.0,8.0,7.333333333333333,6.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.5,6.5,6.5,8,8
4,0.0,low,8.0,5.0,14.0,6.0,16.0,13.0,10.333333333333334,5.0,5.0,4.0,6.0,5.0,5.0,5.0,7.0,4.75,5.75,5.25,7,10
4,0.2,low,10.0,2.0,11.0,3.0,10.0,13.0,8.166666666666666,6.0,6.0,5.0,4.0,7.0,7.0,7.0,7.0,6.25,6.0,6.125,8,7
5,0.0,low,1.0,1.0,1.0,1.0,5.0,16.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,0.2,low,1.0,1.0,1.0,1.0,6.0,15.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
5,0.6,high,1.0,1.0,1.0,1.0,10.0,11.0,4.166666666666667,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9,7
5,0.8,high,1.0,3.0,1.0,1.0,5.0,11.0,3.6666666666666665,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,9
6,0.6,high,7.0,7.0,12.0,13.0,12.0,11.0,10.333333333333334,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.25,2.0,2.125,3,3
