pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,mdmt_reliable,mdmt_capable,mdmt_predictable,mdmt_skilled,mdmt_someone,mdmt_competent,mdmt_consistent,mdmt_meticulous,mdmt_reliable_ave,mdmt_capable_ave,mdmt_ave
1,7,7,1,inc,0.4,low,6.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,6.25,6.125
1,7,7,1,inc,0.0,low,4.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.25,2.5,2.875
1,7,7,1,inc,0.2,low,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.25,6.5,6.375
1,7,7,1,inc,0.6,high,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1,7,7,1,inc,0.8,high,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.75,6.75,6.75
2,6,2,1,dec,0.4,low,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,6,2,1,dec,0.6,high,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2,6,2,1,dec,0.8,high,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2,6,2,1,dec,0.0,low,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.5,3.25,3.375
2,6,2,1,dec,0.2,low,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5
3,6,1,2,inc,0.4,low,5.0,6.0,3.0,7.0,7.0,3.0,4.0,5.0,4.75,5.25,5.0
3,6,1,2,inc,0.0,low,6.0,6.0,4.0,7.0,6.0,6.0,5.0,6.0,5.25,6.25,5.75
3,6,1,2,inc,0.2,low,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.25,5.75,6.0
3,6,1,2,inc,0.6,high,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.75,7.0,6.875
3,6,1,2,inc,0.8,high,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
4,6,6,3,dec,0.4,low,6.0,7.0,4.0,7.0,7.0,7.0,5.0,7.0,5.5,7.0,6.25
4,6,6,3,dec,0.6,high,7.0,7.0,4.0,6.0,7.0,7.0,6.0,7.0,6.0,6.75,6.375
4,6,6,3,dec,0.8,high,6.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.5,6.5,6.5
4,6,6,3,dec,0.0,low,5.0,5.0,4.0,6.0,5.0,5.0,5.0,7.0,4.75,5.75,5.25
4,6,6,3,dec,0.2,low,6.0,6.0,5.0,4.0,7.0,7.0,7.0,7.0,6.25,6.0,6.125
5,7,1,1,inc,0.4,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,1,1,inc,0.0,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,1,1,inc,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7,1,1,inc,0.6,high,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,7,1,1,inc,0.8,high,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
6,5,6,2,dec,0.4,low,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5
6,5,6,2,dec,0.6,high,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,2.25,2.0,2.125
6,5,6,2,dec,0.8,high,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.5,4.75,4.625
6,5,6,2,dec,0.0,low,0.0,0.0,7.0,0.0,7.0,7.0,0.0,7.0,3.5,3.5,3.5
6,5,6,2,dec,0.2,low,2.0,2.0,3.0,0.0,3.0,2.0,2.0,3.0,2.5,1.75,2.125
7,6,1,1,inc,0.4,low,2.0,6.0,5.0,4.0,0.0,2.0,5.0,3.0,3.0,3.75,3.375
7,6,1,1,inc,0.0,low,3.0,5.0,5.0,3.0,0.0,3.0,3.0,3.0,2.75,3.5,3.125
7,6,1,1,inc,0.2,low,4.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,3.75,3.75,3.75
7,6,1,1,inc,0.6,high,5.0,6.0,6.0,5.0,3.0,4.0,5.0,4.0,4.75,4.75,4.75
7,6,1,1,inc,0.8,high,7.0,6.0,6.0,5.0,4.0,5.0,6.0,5.0,5.75,5.25,5.5
8,6,2,2,dec,0.4,low,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
8,6,2,2,dec,0.6,high,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
8,6,2,2,dec,0.8,high,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
8,6,2,2,dec,0.0,low,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
8,6,2,2,dec,0.2,low,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
9,6,2,4,inc,0.4,low,7.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,6.25,6.0,6.125
9,6,2,4,inc,0.0,low,4.0,3.0,7.0,5.0,6.0,5.0,2.0,7.0,4.75,5.0,4.875
9,6,2,4,inc,0.2,low,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,3.75,4.5,4.125
9,6,2,4,inc,0.6,high,7.0,6.0,2.0,7.0,7.0,6.0,7.0,3.0,5.75,5.5,5.625
9,6,2,4,inc,0.8,high,6.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.5,6.0,6.25
