pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,p_auto
1,7,7,1,inc,0.4,low,8
1,7,7,1,inc,0.0,low,6
1,7,7,1,inc,0.2,low,9
1,7,7,1,inc,0.6,high,8
1,7,7,1,inc,0.8,high,9
2,6,2,1,dec,0.4,low,6
2,6,2,1,dec,0.6,high,9
2,6,2,1,dec,0.8,high,9
2,6,2,1,dec,0.0,low,5
2,6,2,1,dec,0.2,low,6
3,6,1,2,inc,0.4,low,1
3,6,1,2,inc,0.0,low,1
3,6,1,2,inc,0.2,low,1
3,6,1,2,inc,0.6,high,6
3,6,1,2,inc,0.8,high,7
4,6,6,3,dec,0.4,low,9
4,6,6,3,dec,0.6,high,9
4,6,6,3,dec,0.8,high,8
4,6,6,3,dec,0.0,low,7
4,6,6,3,dec,0.2,low,8
5,7,1,1,inc,0.4,low,9
5,7,1,1,inc,0.0,low,1
5,7,1,1,inc,0.2,low,1
5,7,1,1,inc,0.6,high,9
5,7,1,1,inc,0.8,high,6
6,5,6,2,dec,0.4,low,1
6,5,6,2,dec,0.6,high,3
6,5,6,2,dec,0.8,high,6
6,5,6,2,dec,0.0,low,1
6,5,6,2,dec,0.2,low,4
7,6,1,1,inc,0.4,low,3
7,6,1,1,inc,0.0,low,4
7,6,1,1,inc,0.2,low,7
7,6,1,1,inc,0.6,high,8
7,6,1,1,inc,0.8,high,9
8,6,2,2,dec,0.4,low,1
8,6,2,2,dec,0.6,high,1
8,6,2,2,dec,0.8,high,1
8,6,2,2,dec,0.0,low,1
8,6,2,2,dec,0.2,low,1
9,6,2,4,inc,0.4,low,3
9,6,2,4,inc,0.0,low,7
9,6,2,4,inc,0.2,low,3
9,6,2,4,inc,0.6,high,9
9,6,2,4,inc,0.8,high,7
10,3,4,1,dec,0.4,low,3
10,3,4,1,dec,0.6,high,7
10,3,4,1,dec,0.8,high,8
10,3,4,1,dec,0.0,low,4
10,3,4,1,dec,0.2,low,6
11,5,6,3,inc,0.4,low,5
11,5,6,3,inc,0.0,low,3
11,5,6,3,inc,0.2,low,6
11,5,6,3,inc,0.6,high,8
11,5,6,3,inc,0.8,high,8
12,6,7,5,dec,0.4,low,5
12,6,7,5,dec,0.6,high,7
12,6,7,5,dec,0.8,high,7
12,6,7,5,dec,0.0,low,1
12,6,7,5,dec,0.2,low,2
13,7,7,2,inc,0.4,low,5
13,7,7,2,inc,0.0,low,2
13,7,7,2,inc,0.2,low,3
13,7,7,2,inc,0.6,high,6
13,7,7,2,inc,0.8,high,8
14,6,6,2,dec,0.4,low,5
14,6,6,2,dec,0.6,high,7
14,6,6,2,dec,0.8,high,9
14,6,6,2,dec,0.0,low,2
14,6,6,2,dec,0.2,low,6
15,6,5,4,inc,0.4,low,3
15,6,5,4,inc,0.0,low,3
15,6,5,4,inc,0.2,low,5
15,6,5,4,inc,0.6,high,7
15,6,5,4,inc,0.8,high,8
16,5,1,1,dec,0.4,low,6
16,5,1,1,dec,0.6,high,8
16,5,1,1,dec,0.8,high,9
16,5,1,1,dec,0.0,low,2
16,5,1,1,dec,0.2,low,7
17,5,5,1,inc,0.4,low,3
17,5,5,1,inc,0.0,low,5
17,5,5,1,inc,0.2,low,6
17,5,5,1,inc,0.6,high,9
17,5,5,1,inc,0.8,high,10
18,3,6,1,dec,0.4,low,2
18,3,6,1,dec,0.6,high,7
18,3,6,1,dec,0.8,high,8
18,3,6,1,dec,0.0,low,2
18,3,6,1,dec,0.2,low,4
19,6,7,5,inc,0.4,low,2
19,6,7,5,inc,0.0,low,4
19,6,7,5,inc,0.2,low,5
19,6,7,5,inc,0.6,high,6
19,6,7,5,inc,0.8,high,8
20,6,1,2,dec,0.4,low,1
20,6,1,2,dec,0.6,high,3
20,6,1,2,dec,0.8,high,4
20,6,1,2,dec,0.0,low,1
20,6,1,2,dec,0.2,low,3
21,7,6,1,inc,0.4,low,4
21,7,6,1,inc,0.0,low,2
21,7,6,1,inc,0.2,low,6
21,7,6,1,inc,0.6,high,7
21,7,6,1,inc,0.8,high,9
22,5,1,1,dec,0.4,low,5
22,5,1,1,dec,0.6,high,3
22,5,1,1,dec,0.8,high,9
22,5,1,1,dec,0.0,low,7
22,5,1,1,dec,0.2,low,7
23,5,5,4,inc,0.4,low,7
23,5,5,4,inc,0.0,low,6
23,5,5,4,inc,0.2,low,7
23,5,5,4,inc,0.6,high,10
23,5,5,4,inc,0.8,high,8
24,6,1,3,dec,0.4,low,2
24,6,1,3,dec,0.6,high,3
24,6,1,3,dec,0.8,high,2
24,6,1,3,dec,0.0,low,1
24,6,1,3,dec,0.2,low,1
