pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,tlx_mental,tlx_physical,tlx_hurried,tlx_insecure,tlx_hard,tlx_successful,tlx_ave
1,7,7,1,inc,0.4,low,14.0,16.0,9.0,6.0,12.0,5.0,10.333333333333334
1,7,7,1,inc,0.0,low,18.0,18.0,18.0,9.0,11.0,12.0,14.333333333333334
1,7,7,1,inc,0.2,low,7.0,7.0,7.0,4.0,5.0,9.0,6.5
1,7,7,1,inc,0.6,high,3.0,3.0,6.0,3.0,3.0,5.0,3.8333333333333335
1,7,7,1,inc,0.8,high,1.0,1.0,1.0,1.0,1.0,2.0,1.1666666666666667
2,6,2,1,dec,0.4,low,12.0,2.0,3.0,5.0,3.0,11.0,6.0
2,6,2,1,dec,0.6,high,5.0,4.0,4.0,4.0,3.0,6.0,4.333333333333333
2,6,2,1,dec,0.8,high,4.0,3.0,3.0,4.0,4.0,6.0,4.0
2,6,2,1,dec,0.0,low,5.0,3.0,5.0,5.0,5.0,14.0,6.166666666666667
2,6,2,1,dec,0.2,low,5.0,3.0,4.0,4.0,4.0,14.0,5.666666666666667
3,6,1,2,inc,0.4,low,12.0,8.0,12.0,10.0,19.0,13.0,12.333333333333334
3,6,1,2,inc,0.0,low,9.0,8.0,10.0,9.0,16.0,11.0,10.5
3,6,1,2,inc,0.2,low,8.0,7.0,9.0,6.0,16.0,13.0,9.833333333333334
3,6,1,2,inc,0.6,high,7.0,5.0,10.0,4.0,10.0,7.0,7.166666666666667
3,6,1,2,inc,0.8,high,2.0,4.0,5.0,2.0,5.0,5.0,3.8333333333333335
4,6,6,3,dec,0.4,low,8.0,3.0,7.0,5.0,12.0,11.0,7.666666666666667
4,6,6,3,dec,0.6,high,6.0,2.0,4.0,2.0,8.0,6.0,4.666666666666667
4,6,6,3,dec,0.8,high,7.0,3.0,4.0,5.0,17.0,8.0,7.333333333333333
4,6,6,3,dec,0.0,low,8.0,5.0,14.0,6.0,16.0,13.0,10.333333333333334
4,6,6,3,dec,0.2,low,10.0,2.0,11.0,3.0,10.0,13.0,8.166666666666666
