trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
1,0,0,5,135,0.085360592,9.306587113,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555]","[0.0, 0.3824303150177002, 1.6491832733154297, 2.016191005706787, 3.1990530490875244, 3.648757219314575, 4.784894227981567, 5.21698522567749, 6.370593786239624, 6.832246780395508]","[-0.6186890602111816, -0.5017030239105225, -0.23625874519348145, -0.15299558639526367, 1.030494213104248, 1.144212007522583, 1.3975019454956055, 1.4913301467895508, 2.5803639888763428, 2.7277140617370605, 3.0300681591033936, 3.1434457302093506, 4.166205167770386, 4.308797597885132, 4.598296165466309, 4.695330381393433, 5.751904726028442, 5.876996755599976, 6.213557720184326, 6.343451976776123]","[-0.062014129426744224, -0.06658037503560377, -0.07743671205308722, -0.15047128995259573, 0.005259725782606139, -0.19719632466634085, -0.01235344674852179, -0.17972477277119925, 0.017208549711439147]","[-13.95317912101745, -4.993528127670283, -17.423260211944616, -11.285346746444683, 1.183438301086381, -14.789724349975566, -2.7795255184174015, -13.479357957839946, 3.871923685073807]"
2,3,3,5,135,0.175077939,17.49680367,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.36664247512817383, 1.3076808452606201, 1.7745919227600098, 2.7030553817749023, 3.119499921798706, 4.1560280323028564, 4.589128494262695, 5.688508987426758, 6.046886920928955, 7.102456092834473, 7.452409267425537]","[0.8083186149597168, 0.9186961650848389, 1.1749610900878906, 1.266230821609497, 2.115999460220337, 2.2110555171966553, 2.5829105377197266, 2.668750762939453, 3.511373996734619, 3.6646695137023926, 3.927818536758423, 4.0151612758636475, 4.964346647262573, 5.077326774597168, 5.397447109222412, 5.492419242858887, 6.496827602386475, 6.596551418304443, 6.855205535888672, 6.963245391845703, 7.9107747077941895, 8.004538774490356, 8.260727882385254, 8.355435371398926, 9.329879999160767, 9.446011304855347, 9.71365237236023, 9.814024925231934]","[-0.07780196931627059, -0.39229496320088697, 0.022466633054945007, -0.40486987431844046, -0.02799990442064093, -0.29680522282918265, -0.011343982484605775, -0.23395284016927054, -0.08606651094224738, -0.27776416142781635, -0.09449126985338019]","[-17.50544309616088, -29.42212224006652, 5.054992437362625, -30.36524057388304, -6.299978494644207, -22.260391712188703, -2.5523960590362984, -17.546463012695295, -19.36496496200565, -20.832312107086217, -21.260535717010534]"
3,3,1,5,135,0.131875659,15.78024192,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3604307174682617, 1.3402190208435059, 1.7378299236297607, 3.1052863597869873, 3.4579882621765137, 4.462244749069214, 4.8554089069366455, 6.1561784744262695, 6.520794868469238, 7.5847063064575195, 7.950947284698486]","[0.7351431846618652, 0.8262267112731934, 1.095573902130127, 1.184769630432129, 2.075362205505371, 2.1696414947509766, 2.472973108291626, 2.5912892818450928, 3.8404295444488525, 3.9248621463775635, 4.193131446838379, 4.304715633392334, 5.197387933731079, 5.328199148178101, 5.590552091598511, 5.672995090484619, 6.891321659088135, 7.040560007095337, 7.2559380531311035, 7.356487512588501, 8.319849491119385, 8.40059518814087, 8.686090469360352, 8.767277240753174, 9.64905333518982, 9.728646516799927, 9.98993706703186, 10.090864419937134]","[-0.0840137269761827, -0.3535450299580891, -0.04683354165818976, 0.034123102823893525, -0.09174254205491827, -0.32907684644063284, -0.051280286577013, -0.032563765843709014, -0.07982805040147589, -0.2694218953450527, -0.07820346620347784]","[-18.903088569641106, -26.515877246856682, -10.537546873092692, 2.5592327117920153, -20.642071962356603, -24.680763483047468, -11.53806447982792, -2.442282438278177, -17.961311340332067, -20.206642150878942, -17.595779895782506]"
4,3,2,5,135,0.299045546,38.26457858,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3938579559326172, 1.5375707149505615, 1.94899320602417, 3.199148654937744, 3.5370290279388428, 4.874310731887817, 5.1926820278167725, 5.673333168029785, 6.3535096645355225, 6.688089609146118, 7.741874933242798]","[0.47772979736328125, 0.5751938819885254, 0.8715877532958984, 0.986466646194458, 2.0153005123138428, 2.0949902534484863, 2.426723003387451, 2.5341784954071045, 3.6768784523010254, 3.7683725357055664, 4.014758825302124, 4.117884397506714, 5.352040529251099, 5.435889005661011, 5.670411825180054, 5.768958568572998, 6.151062965393066, 6.250842332839966, 6.831239461898804, 6.911958694458008, 7.165819406509399, 7.263539791107178, 8.219604730606079, 8.286396026611328, 8.5697660446167, 8.652862310409546, 9.630778074264526, 9.722837686538696, 9.96657419204712, 10.038254022598267]","[-0.05058648851182723, -0.18962057431538892, -0.03302195337083624, -0.08317788441975882, -0.10656407144334601, 0.003948370615641572, -0.12607314851548956, -0.8526821931203203, 0.23573205206129266, -0.9987533887227382, 0.609340879652235]","[-11.381959915161127, -14.22154307365417, -7.429939508438152, -6.238341331481913, -23.97691607475284, 0.296127796173118, -28.36645841598514, -63.951164484024034, 53.03971171379083, -74.90650415420534, 137.10169792175282]"
5,3,4,5,135,0.187644809,18.98559224,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.41066813468933105, 1.6055793762207031, 1.9945151805877686, 3.0288195610046387, 3.445150375366211, 4.425246000289917, 4.808619499206543, 5.686392307281494, 6.202136993408203, 7.07785701751709, 7.411840915679932]","[0.4923264980316162, 0.5929491519927979, 0.9029946327209473, 0.983532190322876, 2.0979058742523193, 2.178449869155884, 2.4868416786193848, 2.5638535022735596, 3.521146059036255, 3.622361660003662, 3.937476873397827, 4.039007186889648, 4.917572498321533, 4.9949400424957275, 5.300945997238159, 5.395536184310913, 6.17871880531311, 6.269355535507202, 6.694463491439819, 6.802985668182373, 7.570183515548706, 7.670148134231567, 7.904167413711548, 8.00397539138794, 8.820167779922485, 8.95117998123169, 9.18653154373169, 9.284754276275635, 10.03668737411499, 10.13442063331604]","[-0.033776309755113365, -0.1384220918019612, -0.05550864007737921, -0.2990289529164629, -0.028113630082872376, -0.353237708409627, -0.061070945527818665, -0.45556052525838187, 0.07130024168226434, -0.4576133092244472, -0.11046054628160284]","[-7.599669694900507, -10.38165688514709, -12.489444017410317, -22.427171468734723, -6.325566768646282, -26.492828130722028, -13.740962743759194, -34.16703939437865, 16.042554378509468, -34.320998191833525, -24.853622913360628]"
6,3,5,5,135,0.159825262,17.33037342,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3874940872192383, 1.5598673820495605, 1.9107801914215088, 3.1258747577667236, 3.54259991645813, 4.5318498611450195, 5.014725923538208, 5.933674573898315, 6.279126882553101, 7.283904314041138, 7.652118682861328]","[0.575890302658081, 0.6739721298217773, 0.9633843898773193, 1.026099443435669, 2.1357576847076416, 2.241377830505371, 2.48667049407959, 2.5832293033599854, 3.7017650604248047, 3.7750465869903564, 4.118490219116211, 4.176719903945923, 5.107740163803101, 5.172027587890625, 5.590616226196289, 5.638711214065552, 6.5095648765563965, 6.577480316162109, 6.855017185211182, 6.908371448516846, 7.859794616699219, 7.95873498916626, 8.22800898551941, 8.29125165939331, 9.142199039459229, 9.221847534179688, 9.442983627319336, 9.557423114776611]","[-0.05695035722520614, -0.160960038503011, -0.0935316350724964, -0.1182387669881182, -0.027719285753038392, -0.3440833886464434, 0.038431617948743835, -0.4143846829732256, -0.09899213578965949, -0.3285559018452968, -0.07623007562425421]","[-12.813830375671381, -12.072002887725825, -21.04461789131168, -8.867907524108865, -6.2368392944336355, -25.80625414848326, 8.64711403846736, -31.078851222991926, -22.273230552673372, -24.64169263839725, -17.15176701545719]"
7,0,0,3,125,0.12061,13.22067,"[0.0, 0.48, 1.92, 2.4, 3.84, 4.32, 5.76, 6.24, 7.68]","[0.0, 1.2251358032226562, 1.6743519306182861, 2.909105062484741, 3.308145761489868, 4.5417304039001465, 4.972031593322754, 6.223639488220215, 6.620885133743286]","[-0.42475008964538574, -0.3023815155029297, 0.8003857135772705, 0.9309415817260742, 1.2496018409729004, 1.3322527408599854, 2.4843549728393555, 2.597604751586914, 2.8833956718444824, 2.980646848678589, 4.116980314254761, 4.227071046829224, 4.547281503677368, 4.644571542739868, 5.798889398574829, 5.92715048789978, 6.1961350440979, 6.278948783874512]","[-0.0307838726043701, -0.20524686813354487, -0.08095930099487303, -0.20641535758972163, -0.049698810577393004, -0.18839210510253857, -0.08275435447692914]","[-6.413306792577105, -14.253254731496174, -16.86652104059855, -14.334399832619557, -10.353918870290201, -13.082785076565182, -17.240490516026888]"
8,2,5,3,125,0.226973928,21.04796317,"[0.0, 0.48, 1.92, 2.4, 3.84, 4.32, 5.76, 6.24, 7.68, 8.16, 9.6]","[0.0, 0.3458597660064697, 1.3136258125305176, 1.7094745635986328, 2.9360923767089844, 3.3886659145355225, 4.503232002258301, 5.036516189575195, 5.854506492614746, 6.252924919128418, 7.436829090118408]","[0.5781993865966797, 0.684708833694458, 0.9240591526031494, 1.031409740447998, 1.8918251991271973, 1.9365675449371338, 2.2876739501953125, 2.349355936050415, 3.514291763305664, 3.6140329837799072, 3.966865301132202, 4.066535472869873, 5.0814313888549805, 5.198231220245361, 5.614715576171875, 5.729499340057373, 6.432705879211426, 6.497739553451538, 6.831124305725098, 6.928493022918701, 8.015028476715088, 8.114849328994751, 8.4306800365448, 8.513444662094116, 9.664941787719727, 9.779081344604492, 9.997106075286865, 10.06421709060669]","[-0.13414023399353026, -0.4722339534759521, -0.08415124893188475, -0.21338218688964838, -0.02742646217346234, -0.3254339122772212, 0.053284187316894105, -0.6220096969604487, -0.08158157348632855, -0.25609582901000927]","[-27.945882081985474, -32.79402454694112, -17.53151019414266, -14.818207422892248, -5.713846286137982, -22.5995772414737, 11.100872357686262, -43.195117844475625, -16.996161142985102, -17.78443257013954]"
9,2,4,3,125,0.243298111,25.11724432,"[0.0, 0.48, 1.92, 2.4, 3.84, 4.32, 5.76, 6.24, 7.68, 8.16, 9.6]","[0.0, 0.4185905456542969, 1.6526384353637695, 1.984391212463379, 2.9304006099700928, 3.2854044437408447, 4.33476710319519, 4.704036235809326, 5.830311059951782, 6.163743734359741, 7.167018890380859]","[0.528411865234375, 0.6244895458221436, 0.9470024108886719, 1.0461421012878418, 2.1810503005981445, 2.2764806747436523, 2.512803077697754, 2.613118886947632, 3.4588124752044678, 3.556105136871338, 3.8138163089752197, 3.9260504245758057, 4.863178968429565, 4.946958303451538, 5.232448101043701, 5.362086772918701, 6.358722925186157, 6.4445719718933105, 6.692155599594116, 6.780318975448608, 7.695430755615234, 7.778444051742554, 7.97938871383667, 8.077824592590332, 9.189184665679932, 9.280118465423584, 9.558475494384766, 9.646207571029663]","[-0.06140945434570311, -0.2059521102905273, -0.1482472229003906, -0.4939906024932861, -0.12499616622924847, -0.3906373405456538, -0.11073086738586468, -0.31372517585754345, -0.14656732559204144, -0.43672484397888134]","[-12.79363632202148, -14.302229881286618, -30.884838104248047, -34.304902950922646, -26.040867964426745, -27.127593093448187, -23.068930705388453, -21.78647054566275, -30.534859498341937, -30.328114165200105]"
10,2,1,3,125,0.167845902,17.73411797,"[0.0, 0.48, 1.92, 2.4, 3.84, 4.32, 5.76, 6.24, 7.68, 8.16, 9.6]","[0.0, 0.3848907947540283, 1.6554913520812988, 2.1134138107299805, 3.217071771621704, 3.6016061305999756, 4.8177268505096436, 5.1513776779174805, 6.351122617721558, 6.75249719619751, 7.921540975570679]","[0.47018980979919434, 0.5641689300537109, 0.8550806045532227, 0.983022928237915, 2.125681161880493, 2.2252373695373535, 2.583603620529175, 2.675358533859253, 3.6872615814208984, 3.792323350906372, 4.07179594039917, 4.18420672416687, 5.287916660308838, 5.374485492706299, 5.621567487716675, 5.717860460281372, 6.821312427520752, 6.934668064117432, 7.222687005996704, 7.335500240325928, 8.391730785369873, 8.501514911651611, 8.805001974105835, 8.917552471160889, 9.958052635192871, 10.055078268051147]","[-0.09510920524597166, -0.16939944267272944, -0.02207754135131834, -0.3363420391082763, -0.09546564102172894, -0.22387928009033153, -0.1463491725921635, -0.24025506019592235, -0.07862542152404828, -0.27095622062683056]","[-19.81441775957743, -11.763850185606211, -4.599487781524655, -23.357086049185856, -19.88867521286018, -15.547172228495251, -30.489410956700702, -16.68437918027239, -16.380296150843378, -18.816404210196573]"
