pid,autonomy,auto_grouped,pupil_diameter,left_index,right_index,pupil_index
1,0.4,low,3.563735655625,0.75,0.625,0.6875
1,0.0,low,3.860037154375,0.15,0.425,0.2875
1,0.2,low,3.470474974375,0.075,0.65,0.3625
1,0.6,high,2.85798158625,0.2249999999999999,0.15,0.1875
1,0.8,high,2.8283055625,0.15,0.35,0.25
2,0.4,low,3.074164569448257,2.4250000000000003,2.15,2.2875
2,0.6,high,3.0146836099089875,2.575,2.3,2.4375
2,0.8,high,3.086886065371603,1.775,1.725,1.75
2,0.0,low,3.5504493107684345,0.425,0.5,0.4625
2,0.2,low,2.816876431585116,2.15,1.9250000000000005,2.0375
3,0.4,low,3.3760518370733985,2.7250000000000005,2.625,2.675
3,0.0,low,3.2107921893380698,2.2750000000000004,2.2,2.2375
3,0.2,low,3.224648026818325,1.925,1.925,1.9250000000000005
3,0.6,high,3.295558840607957,2.2,2.225,2.2125
3,0.8,high,3.1431421790587635,2.45,2.5250000000000004,2.4875
4,0.4,low,3.5972949111958177,1.4499999999999995,1.075,1.2625
4,0.6,high,3.211532357037866,1.75,1.875,1.8125
4,0.8,high,3.0079834384335427,1.475,1.65,1.5625
4,0.0,low,2.861763489391659,1.8,2.1750000000000003,1.9875
4,0.2,low,3.034437656923709,1.525,1.9,1.7125
5,0.4,low,2.9862323197560987,2.0,2.1500000000000004,2.075
5,0.0,low,2.8629507694242013,2.175,2.125,2.1500000000000004
5,0.2,low,2.787662447501773,2.025,2.175,2.1
5,0.6,high,2.7835147640473585,2.2,2.0,2.1
5,0.8,high,2.721654395030124,2.2,2.175,2.1875
6,0.4,low,3.6837057997789104,2.45,2.65,2.55
6,0.6,high,3.474901163331186,2.5,2.575,2.5375
6,0.8,high,3.354363967837581,2.475,2.4250000000000003,2.45
6,0.0,low,3.4204387377829386,2.35,2.475,2.4125
6,0.2,low,3.4517952416310083,2.55,2.325,2.4375
7,0.4,low,3.853262836065406,2.4,2.45,2.425
7,0.0,low,3.731011556886096,2.075,2.15,2.1125
7,0.2,low,3.599765240344283,2.375,2.525,2.45
7,0.6,high,3.570081260588195,2.075,2.275,2.175
7,0.8,high,3.464084493610986,2.2,2.15,2.175
8,0.4,low,3.4782329106302194,2.225,2.425,2.325
