pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,pupil_diameter,new_left,new_right,new_ave
1,7,7,1,inc,0.4,low,3.563735655625,0.75,0.625,0.6875
1,7,7,1,inc,0.0,low,3.8600371543749996,0.15000000000000002,0.42500000000000004,0.2875
1,7,7,1,inc,0.2,low,3.4704749743749996,0.07500000000000001,0.65,0.36250000000000004
1,7,7,1,inc,0.6,high,2.8579815862499998,0.22499999999999998,0.15000000000000002,0.1875
1,7,7,1,inc,0.8,high,2.8283055625,0.15,0.35000000000000003,0.25
2,6,2,1,dec,0.4,low,3.074164569448257,2.4250000000000003,2.15,2.2874999999999996
2,6,2,1,dec,0.6,high,3.0146836099089875,2.5749999999999997,2.3,2.4375
2,6,2,1,dec,0.8,high,3.086886065371603,1.775,1.725,1.75
2,6,2,1,dec,0.0,low,3.5504493107684345,0.42500000000000004,0.5,0.4625
2,6,2,1,dec,0.2,low,2.816876431585116,2.15,1.9250000000000003,2.0375
3,6,1,2,inc,0.4,low,3.3760518370733985,2.7250000000000005,2.625,2.675
3,6,1,2,inc,0.0,low,3.2107921893380698,2.2750000000000004,2.2,2.2375
3,6,1,2,inc,0.2,low,3.224648026818325,1.9249999999999998,1.925,1.9250000000000003
3,6,1,2,inc,0.6,high,3.2955588406079572,2.1999999999999997,2.225,2.2125
3,6,1,2,inc,0.8,high,3.1431421790587635,2.45,2.5250000000000004,2.4875
4,6,6,3,dec,0.4,low,3.5972949111958177,1.4499999999999997,1.075,1.2625
4,6,6,3,dec,0.6,high,3.211532357037866,1.75,1.875,1.8125
4,6,6,3,dec,0.8,high,3.0079834384335427,1.475,1.65,1.5625
4,6,6,3,dec,0.0,low,2.861763489391659,1.8,2.1750000000000003,1.9875
4,6,6,3,dec,0.2,low,3.034437656923709,1.5250000000000001,1.9,1.7125000000000001
5,7,1,1,inc,0.4,low,2.9862323197560987,1.9999999999999998,2.1500000000000004,2.075
5,7,1,1,inc,0.0,low,2.8629507694242013,2.175,2.125,2.1500000000000004
5,7,1,1,inc,0.2,low,2.7876624475017735,2.025,2.175,2.0999999999999996
5,7,1,1,inc,0.6,high,2.7835147640473585,2.2,2.0,2.0999999999999996
5,7,1,1,inc,0.8,high,2.721654395030124,2.2,2.175,2.1875
6,5,6,2,dec,0.4,low,3.6837057997789104,2.45,2.65,2.55
6,5,6,2,dec,0.6,high,3.474901163331186,2.5,2.575,2.5374999999999996
6,5,6,2,dec,0.8,high,3.354363967837581,2.475,2.4250000000000003,2.45
6,5,6,2,dec,0.0,low,3.4204387377829386,2.3499999999999996,2.4749999999999996,2.4124999999999996
6,5,6,2,dec,0.2,low,3.4517952416310083,2.55,2.325,2.4375
7,6,1,1,inc,0.4,low,3.853262836065406,2.4,2.45,2.425
7,6,1,1,inc,0.0,low,3.731011556886096,2.075,2.15,2.1125
7,6,1,1,inc,0.2,low,3.599765240344283,2.375,2.525,2.45
7,6,1,1,inc,0.6,high,3.570081260588195,2.075,2.275,2.175
7,6,1,1,inc,0.8,high,3.464084493610986,2.2,2.15,2.175
8,6,2,2,dec,0.4,low,3.4782329106302194,2.225,2.425,2.325
8,6,2,2,dec,0.6,high,3.3720829579337313,2.1500000000000004,2.25,2.1999999999999997
