pid,base_err,round1_err,no_auto_err
1,1.5517308186864742,1.297760430681416,1.8629293030377019
2,1.8902264116393896,1.4171279413502802,1.604957962638514
3,1.65314441601341,1.461283534155106,1.842728685412822
4,1.903413047030856,1.1190982187861278,2.7406202884698074
5,1.5992161039798096,1.6589284825657837,2.21042614147203
6,3.0151097813003984,2.074440444930154,2.470309219934172
7,1.8638583784476157,1.2730266181267218,2.70835031942819
8,2.799849896116262,1.81158476220677,3.3855197337267344
9,2.1218278223662863,1.583908403169678,3.04223063854578
10,2.719044574199146,1.605970949357462,2.601360813864002
11,2.303253976736404,1.6135950711810403,2.995455338624582
12,2.022340439175368,1.5630579334598924,2.808606247604506
13,2.1099170487832857,0.9779420488283879,2.4971985685951057
14,3.071148535239938,2.149364371726322,3.021279513378276
15,2.5014855170101944,1.082609841793526,1.554936644124358
16,1.95202523469412,1.5261586143801158,1.9632556868718498
17,1.81332289963305,1.578471460660998,2.040371557432446
18,5.140941808136686,5.725171642163804,3.309537682596094
19,2.25226521047521,1.1506970065514222,1.9300578230846182
20,3.4686552419431957,5.223538817925414,3.890601845675976
21,1.7321177211028962,1.3730158469587002,2.416448488380122
22,1.555531276332372,1.6189785448981524,1.7423603885693677
23,2.2375555167842682,1.389634295333586,2.576900497616778
24,3.06159988193971,2.1294446669671863,2.64493863539283
