pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,traj_err
1,7,7,1,inc,0.4,low,1.2109885369922226
1,7,7,1,inc,0.0,low,1.9257442191402574
1,7,7,1,inc,0.2,low,1.2655173001870526
1,7,7,1,inc,0.6,high,0.8765436060045724
1,7,7,1,inc,0.8,high,0.6510420646422225
2,6,2,1,dec,0.4,low,1.3744837821149625
2,6,2,1,dec,0.6,high,0.9597569440785001
2,6,2,1,dec,0.8,high,0.705194160704965
2,6,2,1,dec,0.0,low,1.5758656991893525
2,6,2,1,dec,0.2,low,1.2340341838053774
3,6,1,2,inc,0.4,low,1.2666181929880524
3,6,1,2,inc,0.0,low,1.9605298514491873
3,6,1,2,inc,0.2,low,1.12221730651063
3,6,1,2,inc,0.6,high,0.7831297343064074
3,6,1,2,inc,0.8,high,0.39161151053381
4,6,6,3,dec,0.4,low,1.1804884849075323
4,6,6,3,dec,0.6,high,0.7164288454366601
4,6,6,3,dec,0.8,high,0.7222605400011625
4,6,6,3,dec,0.0,low,2.9689690750865325
4,6,6,3,dec,0.2,low,1.465633598548435
5,7,1,1,inc,0.4,low,1.70346515670284
5,7,1,1,inc,0.0,low,2.0625300377247373
5,7,1,1,inc,0.2,low,1.4098953777570076
5,7,1,1,inc,0.6,high,1.110057720451945
5,7,1,1,inc,0.8,high,0.6564518038465975
6,5,6,2,dec,0.4,low,1.9438057700018725
6,5,6,2,dec,0.6,high,1.197534647980495
6,5,6,2,dec,0.8,high,0.7692677100088925
6,5,6,2,dec,0.0,low,2.364965377007085
6,5,6,2,dec,0.2,low,1.7932124027995076
7,6,1,1,inc,0.4,low,1.2826735339626625
7,6,1,1,inc,0.0,low,2.901502485467727
7,6,1,1,inc,0.2,low,1.9340785834427623
7,6,1,1,inc,0.6,high,0.8127042378812199
7,6,1,1,inc,0.8,high,0.583013165209145
8,6,2,2,dec,0.4,low,3.148164385799158
8,6,2,2,dec,0.6,high,1.1062141313004275
8,6,2,2,dec,0.8,high,0.816565406238365
8,6,2,2,dec,0.0,low,2.7104891736864998
