pid,autonomy,auto_grouped,human_traj_err,robot_traj_err,overall_traj_err
2,0.6,high,3.3892726935119075,2.3702445253386726,1.7330487467900275
2,0.8,high,6.332396154796325,2.313087800459675,2.0292345940619425
2,0.0,low,3.0739980196897627,2.38820263460804,3.0739980196897627
2,0.2,low,2.5046852499605454,2.334712356070445,2.005873156417795
3,0.0,low,1.5861312701152652,2.3328777658280724,1.5861312701152652
3,0.2,low,1.56188561088269,2.3691002698245827,1.2511403270102675
3,0.6,high,2.423246580677863,2.312402330501985,1.4542853635249076
3,0.8,high,4.552444268639134,2.3742959812828524,1.9496048957742076
4,0.6,high,2.508514668571035,2.3742959812828524,1.4960134469016748
4,0.8,high,3.2841819203715152,2.3135035259737724,1.8274864127511874
4,0.0,low,1.160946077694415,2.37019830316919,1.160946077694415
4,0.2,low,1.4847080708072,2.385909258809267,1.171975231792655
5,0.0,low,3.06575573126446,2.312402330501985,3.06575573126446
5,0.2,low,2.1525097104323097,2.387101439136252,1.708041649350615
5,0.6,high,3.2763546702343826,2.3328777658280724,1.7451417333904575
5,0.8,high,5.899853126015585,2.37542831154358,2.1195925852346096
6,0.6,high,4.337205925,2.369100275,1.94996295
6,0.8,high,4.75468535,2.333978975,1.966095825
6,0.0,low,1.9637173250000002,2.374295975,1.9637173250000002
6,0.2,low,1.8223859750000002,2.31245025,1.42476575
7,0.0,low,3.1096789029700247,2.3135035259737724,3.1096789029700247
7,0.2,low,2.977953383425478,2.385909258809267,2.3585941076500228
7,0.6,high,4.681004969232265,2.3742959812828524,2.2847263702062848
7,0.8,high,6.98449091079931,2.332877765828073,2.277461994655465
8,0.6,high,3.2671621999999996,2.314267975,1.5915807
8,0.8,high,4.33070285,2.3742959750000003,1.99185755
8,0.0,low,2.4120207000000002,2.3702445500000002,2.4120207000000002
8,0.2,low,2.4705963250000003,2.332877775,1.911216675
9,0.0,low,1.4912866808036052,2.3690068792276078,1.4912866808036052
9,0.2,low,1.7218622815998952,2.375471668808895,1.39161185409316
9,0.6,high,2.8384468191994725,2.3328777658280724,1.684713679629455
9,0.8,high,3.6459828973517427,2.3858158682122923,1.9282139306515425
10,0.6,high,2.8581576,2.332877775,1.6653291000000001
10,0.8,high,4.370927600000001,2.387053525,2.10499395
10,0.0,low,3.7281045500000007,2.374295975,3.7281045500000007
10,0.2,low,2.8695777999999996,2.369100275,2.252885825
