pid,base_err,round1_err,no_auto_err
2,2.183937883264014,2.110032795652046,3.2464078477802802
3,1.564262248573808,1.217515692976418,1.513434331245012
4,2.788980251993338,1.2277979575053177,1.3132134914934261
5,2.348892949525606,1.8117948257023002,2.9883550669331505
6,4.17411626,1.6905783600000002,1.9357708200000001
7,3.110059686476002,1.9690457299124002,2.874716479944104
8,2.7382068,1.7045896999999997,2.33779528
9,2.0526567033159604,1.3475543074025038,1.5224045370623243
10,2.4787571400000004,1.59559188,3.52600126
11,2.779049832984452,1.4435625541957497,2.0573619883990957
12,1.682146194115296,1.373115161528538,1.4447329394772779
13,2.40626256770692,1.533118968316218,2.1848881058844425
14,2.4752125999999994,1.38898916,1.6232998800000003
15,2.041809026798626,1.51680696755771,1.973410943948108
16,1.7103231581254839,1.3131093693264162,1.7309261818938362
17,1.863015572660128,1.36379170102955,1.8248238652246542
18,3.4862816371720466,3.1332807528718907,2.8737087132169705
19,2.396503675675404,2.430067318806802,2.0663652871242286
20,1.98413505482909,1.682781214530062,1.747892204664282
21,2.067319968364796,1.429085542900276,1.593437701019704
22,2.1974203734075957,1.5681326449545538,1.6963116491428418
23,2.9720597118515775,1.631687694013188,2.3793222869517
24,2.915146452092216,2.200223837059292,3.6445999467164056
25,1.814064259136416,1.543129828308636,1.837296870025136
