pid,autonomy,auto_grouped,pupil_diameter,left_index,right_index,pupil_index
2,0.4,low,4.564407479750001,5.25,5.2749999999999995,5.262499999999999
2,0.6,high,4.43017280225,4.9750000000000005,5.15,5.0625
2,0.8,high,4.356589045,5.1,5.225,5.1625
2,0.0,low,4.38954630525,5.0,4.875,4.9375
2,0.2,low,4.3757781824999995,4.95,4.75,4.85
3,0.4,low,3.437777978009647,5.15,5.199999999999999,5.175
3,0.0,low,3.375337084587337,5.3500000000000005,5.375,5.362499999999999
3,0.2,low,3.2908937287531055,4.95,5.125,5.0375
3,0.6,high,3.234578350166599,5.200000000000001,5.2,5.2
3,0.8,high,3.3312712094184094,5.2,5.225,5.2125
4,0.4,low,5.830081961158,5.125,5.6,5.362500000000001
4,0.6,high,5.723407911289149,5.025,5.1,5.0625
4,0.8,high,5.6873242467073695,5.199999999999999,5.175,5.1875
4,0.0,low,5.48505365791643,4.7,4.925,4.8125
4,0.2,low,5.5230855585946035,5.3,5.1000000000000005,5.2
5,0.4,low,4.04780788664937,5.0,5.050000000000001,5.025
5,0.0,low,3.766227957588833,4.775,4.924999999999999,4.85
5,0.2,low,3.8079487281993885,5.075,5.4,5.237500000000001
5,0.6,high,3.6287563325568923,5.0,5.075,5.0375
5,0.8,high,3.588629385147597,4.75,5.075,4.9125
6,0.4,low,5.657220242875,4.675000000000001,3.5749999999999997,4.125
6,0.6,high,5.614665191375001,4.55,4.300000000000001,4.425
6,0.8,high,5.6340487203750005,4.6,4.175,4.3875
6,0.0,low,5.433200472125,4.575,3.7499999999999996,4.1625
6,0.2,low,5.495091069,4.8,4.5,4.6499999999999995
7,0.4,low,3.551273540136387,5.1,5.425,5.2625
7,0.0,low,3.4906902029485485,5.050000000000001,5.175000000000001,5.1125
7,0.2,low,3.4320387473089657,4.825,5.125,4.975
7,0.6,high,3.367866609872943,5.225,5.074999999999999,5.15
7,0.8,high,3.338851783446569,4.95,4.725,4.8375
8,0.4,low,4.881209712312153,5.05,5.1,5.074999999999999
8,0.6,high,4.726531589357972,4.75,4.925,4.8375
8,0.8,high,4.730828327778826,5.15,5.2250000000000005,5.1875
8,0.0,low,4.627020686247064,4.7,4.875,4.7875
8,0.2,low,4.434933395631672,3.7750000000000004,3.8000000000000003,3.7874999999999996
9,0.4,low,4.88558482427926,4.55,3.55,4.05
9,0.0,low,4.884159963198308,4.525,4.05,4.2875000000000005
9,0.2,low,4.755578879935232,3.925,3.7750000000000004,3.85
9,0.6,high,4.7430812611818,4.025,3.6249999999999996,3.825
9,0.8,high,4.739632492544336,4.325,3.45,3.8874999999999997
10,0.4,low,3.3078758012656575,4.75,4.75,4.75
10,0.6,high,3.1267990751872166,4.800000000000001,4.675,4.7375
10,0.8,high,3.04348724902602,5.025,4.85,4.9375
10,0.0,low,2.9659911042301266,5.2,5.15,5.175000000000001
10,0.2,low,2.9473219693842263,4.65,5.050000000000001,4.85
11,0.4,low,5.1476140596503335,4.375,4.449999999999999,4.4125
11,0.0,low,5.120768210806355,4.449999999999999,3.95,4.199999999999999
11,0.2,low,4.8840749228270495,4.075,4.325,4.2
11,0.6,high,4.521655611303228,4.475,4.4,4.4375
11,0.8,high,4.670380040993063,5.199999999999999,5.075,5.1375
12,0.4,low,4.783347233454323,5.025,4.75,4.887499999999999
12,0.6,high,4.586187570033859,4.6000000000000005,4.925,4.762499999999999
12,0.8,high,4.576352506035844,4.7,4.825,4.762499999999999
12,0.0,low,4.825983974278195,4.6000000000000005,4.7250000000000005,4.6625
12,0.2,low,4.620294453957706,4.675,4.625,4.65
13,0.4,low,2.7508153808958666,4.875,4.6499999999999995,4.762499999999999
13,0.0,low,2.6886351232750183,4.85,4.625,4.737500000000001
13,0.2,low,2.660944074153573,4.8,4.7,4.75
13,0.6,high,2.6659317544889207,4.5,4.75,4.625
13,0.8,high,2.6129758394377323,4.7250000000000005,4.625,4.675
14,0.4,low,4.928348898500239,4.75,4.725,4.737500000000001
14,0.6,high,4.726876038025129,4.675000000000001,4.875,4.775
14,0.8,high,4.59904635811466,4.699999999999999,4.5249999999999995,4.612499999999999
14,0.0,low,4.570325115586066,4.6,4.925,4.762499999999999
14,0.2,low,4.565856531086323,4.800000000000001,4.45,4.625
15,0.4,low,4.412777739380113,4.800000000000001,4.7,4.75
15,0.0,low,4.040203881955139,4.9,4.55,4.725
15,0.2,low,3.8796814706984497,4.675,3.5,4.0875
15,0.6,high,3.9463668204011917,4.475,3.5000000000000004,3.9875000000000003
15,0.8,high,4.023782162070969,4.6,4.125,4.3625
16,0.4,low,4.076516017147529,4.625,4.575,4.6
16,0.6,high,3.8836910768551562,4.675,4.675,4.675
16,0.8,high,3.986160844433692,4.625,4.925,4.775
16,0.0,low,3.7183956780313205,4.625,4.6,4.6125
16,0.2,low,3.8959523861516345,4.5249999999999995,4.55,4.5375
17,0.4,low,3.5683187313970506,4.5,4.574999999999999,4.5375
17,0.0,low,3.3504957212112405,4.35,4.375,4.3625
17,0.2,low,3.4576079560066466,4.550000000000001,4.65,4.6
17,0.6,high,3.3450694059378785,4.675000000000001,4.4,4.5375
17,0.8,high,3.3716713226426247,3.6750000000000003,4.55,4.1125
18,0.4,low,3.9159157923129415,4.675,4.475,4.575
18,0.6,high,3.791080318808109,4.625,4.8,4.7125
18,0.8,high,3.640501773909402,4.574999999999999,4.699999999999999,4.6375
18,0.0,low,3.609239926763114,4.5,4.574999999999999,4.5375
18,0.2,low,3.6398869759319092,4.65,4.475,4.5625
19,0.4,low,5.366261060062326,4.925,4.625,4.775
19,0.0,low,5.188336415088097,4.824999999999999,4.85,4.8375
19,0.2,low,5.062075681683567,4.775,5.0,4.887499999999999
19,0.6,high,4.970070100280242,5.175,4.800000000000001,4.987499999999999
19,0.8,high,5.0933779057480155,4.525,4.75,4.6375
20,0.4,low,4.295898239003934,3.3500000000000005,3.2750000000000004,3.3125
20,0.6,high,4.141456124110394,3.4,3.0,3.2
20,0.8,high,4.091390816589804,3.25,2.725,2.9875000000000003
20,0.0,low,3.927858271669264,3.2750000000000004,3.4,3.3375000000000004
20,0.2,low,4.109901204736467,2.975,3.2,3.0875
21,0.4,low,3.9456828781052335,4.625,4.325,4.475
21,0.0,low,3.8646036016300584,4.3999999999999995,4.475,4.4375
21,0.2,low,3.6983752985854146,4.550000000000001,4.6,4.575
21,0.6,high,3.6605780609418725,4.675,4.475,4.574999999999999
21,0.8,high,3.7625827735755344,4.55,4.475,4.512499999999999
22,0.4,low,3.507204024596655,4.9,4.75,4.825
22,0.6,high,3.3754348936342375,4.775,4.5,4.637499999999999
22,0.8,high,3.308474383679494,4.775,4.699999999999999,4.7375
22,0.0,low,3.1703759275644114,4.525,4.5,4.5125
22,0.2,low,3.2107098352102983,4.175,4.324999999999999,4.25
23,0.4,low,4.795469521550337,4.5,4.575,4.5375
23,0.0,low,4.472285486602679,4.775,4.675,4.725
23,0.2,low,4.386487825477683,4.6000000000000005,4.825,4.7125
23,0.6,high,4.21316854344227,4.725,4.9750000000000005,4.85
23,0.8,high,4.269843166717641,4.625,4.825,4.725
24,0.4,low,3.2586955772650334,4.875,4.875,4.875
24,0.6,high,3.415050575818206,4.875,3.6,4.2375
24,0.8,high,3.3341964827827804,4.875,3.8000000000000003,4.3374999999999995
24,0.0,low,3.0705632536350365,4.75,4.3500000000000005,4.550000000000001
24,0.2,low,3.084976307861342,4.5,3.5999999999999996,4.050000000000001
25,0.4,low,3.281477241772009,4.225,4.175,4.2
25,0.0,low,3.1042011549587185,3.875,4.125,4.0
25,0.2,low,2.9330819516682025,3.7499999999999996,4.325,4.0375
25,0.6,high,2.98460193127916,3.925,4.25,4.0875
25,0.8,high,3.0444190475838018,4.325,4.25,4.2875
