pid,autonomy,auto_grouped,tapping_err_short,tapping_err_long,tapping_err_ave
2,0.6,high,0.5537041028340619,-5.418722290131767,-2.100707627372975
2,0.8,high,10.24998823801672,5.1345437765121416,7.9482764005660735
2,0.0,low,3.1442889571189605,4.303491355644324,3.575380983543967
2,0.2,low,8.267822265625,-1.4594382047653198,3.654710893277768
3,0.0,low,49.662439674138966,12.319548461172285,-1.3578667195000005
3,0.2,low,5.660654554764438,-1.5633095469739744,2.624917214249999
3,0.6,high,53.02091856797536,16.58823622597589,1.5882362200000002
3,0.8,high,7.572443286577887,-5.2595812082290685,1.7397048794999996
4,0.6,high,7.612890005111651,8.92313515974419,8.195221185000001
4,0.8,high,5.008578797181412,6.560234427452125,5.7138768102499995
4,0.0,low,5.659910539786015,8.046323789490595,6.7244842922500005
4,0.2,low,57.972931265830994,13.228072524070736,3.67562335725
5,0.0,low,9.291798273722325,2.486206574572467,6.215908400250001
5,0.2,low,55.810007502635315,13.183015882968917,2.0809133300000004
5,0.6,high,11.271446744600985,-0.5664638512664053,5.765230558999999
5,0.8,high,7.502165933450047,-1.8250517547130376,3.3567358505
6,0.6,high,46.7044899861018,35.237304121255846,41.6079629355
6,0.8,high,10.490873157978026,15.914025372929054,13.202449265
6,0.0,low,6.255695819854736,2.280455430348713,4.268075624999998
6,0.2,low,5.38001656532287,21.287100513776146,12.610509269
7,0.0,low,25.765275127357885,19.33118118180169,22.84068697028688
7,0.2,low,6.89003159602482,9.692955803540023,8.136728359961216
7,0.6,high,19.75860372185704,15.726841092109677,17.92598434469915
7,0.8,high,16.326551437377923,11.689128478368144,14.265474566706907
8,0.6,high,5.324185192584961,6.676583290100107,6.002280915325327
8,0.8,high,6.183025439580248,5.215102682511052,5.752837547549497
8,0.0,low,-0.5093097686767654,6.1288545529047544,2.5080376502239234
8,0.2,low,3.4204990665118227,3.521960245238413,3.471229655875118
9,0.0,low,4.123645027478532,2.3664818207422793,3.3249344789620565
9,0.2,low,13.666715621948242,5.44546365737915,9.529137787995516
9,0.6,high,5.746701955795274,2.01317022244137,4.087354518749094
9,0.8,high,5.522999564806634,7.380768987867572,6.451884276337105
10,0.6,high,18.307063579559326,5.39304256439209,11.850053074999998
10,0.8,high,7.052602618932719,20.27303695678711,13.061890954999999
10,0.0,low,18.89662593603132,21.79427842299144,20.213740704999996
10,0.2,low,-2.826322317123432,9.834143850538462,3.5039107650000005
