trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
1,3,0,5,135,0.04835731092125477,6.215512210672542,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.5277609825134277, 2.031630516052246, 2.495596408843994, 3.823432207107544, 4.303327322006226, 5.598827123641968, 6.062754154205322, 7.470554351806641, 7.918659448623657, 9.198235511779785, 9.614272832870483]","[-0.7981290817260742, -0.6380975246429443, -0.2703666687011719, -0.14257478713989258, 1.2335021495819092, 1.3774869441986084, 1.6974685192108154, 1.8254201412200928, 3.0253043174743652, 3.1852712631225586, 3.5051991939544678, 3.632884979248047, 4.800699234008789, 4.960791826248169, 5.264625787734985, 5.408917665481567, 6.672425985336304, 6.80042576789856, 7.1205315589904785, 7.248626708984375, 8.400107622146606, 8.528114557266235, 8.816145181655884, 8.976405382156372, 9.999999761581421]","[0.08331653806898331, 0.1705362002054851, 0.019521448347303405, -0.005497535069783233, 0.035450670454237, -0.03783353169759085, 0.01948258611890985, 0.07446686426798532, 0.0036606523725719597, -0.053757270177205996, -0.0284071233537464]","[18.746221065521247, 12.790215015411382, 4.392325878143264, -0.41231513023374255, 7.97640085220332, -2.8375148773193146, 4.383581876754715, 5.585014820098901, 0.8236467838286906, -4.031795263290448, -6.391602754592937]"
2,3,1,5,135,0.11365242651951174,12.718207968605903,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555]","[0.0, 0.46311020851135254, 1.9535048007965088, 2.3713033199310303, 3.9383914470672607, 4.291442394256592, 5.907942056655884, 6.4204559326171875, 7.6565563678741455, 8.054118871688843]","[-1.1328444480895996, -0.7498807907104492, -0.6697325706481934, 0.6916947364807129, 0.8206615447998047, 1.1401703357696533, 1.2384531497955322, 2.7096564769744873, 2.8055474758148193, 3.0636579990386963, 3.158592700958252, 4.66454553604126, 4.775099515914917, 5.191435813903809, 5.287614345550537, 6.376569509506226, 6.5237133502960205, 6.840947866439819, 6.921276569366455]","[0.01866576406690812, 0.157061258951823, -0.026645925309923157, 0.23375479380289743, -0.09139349725511359, 0.28316632906595895, 0.06806943151685907, -0.09723289807637503, -0.046881940629747376]","[4.199796915054327, 11.779594421386724, -5.995333194732708, 17.53160953521731, -20.563536882400548, 21.237474679946928, 15.315622091293285, -7.292467355728129, -10.548436641693156]"
3,3,2,5,135,0.059845900294756754,7.456722042777329,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.4313466548919678, 1.9359829425811768, 2.3522467613220215, 3.6810522079467773, 4.0819480419158936, 5.425177812576294, 5.921762228012085, 7.281888008117676, 7.7299113273620605, 8.83513331413269, 9.202449798583984]","[0.9301390647888184, 1.025392770767212, 1.3614885807037354, 1.457977056503296, 2.8661246299743652, 2.9625918865203857, 3.28238844871521, 3.3795032501220703, 4.611191034317017, 4.707754135131836, 5.012089252471924, 5.107025623321533, 6.355319261550903, 6.483317136764526, 6.851902484893799, 6.931493043899536, 8.212029218673706, 8.307926416397095, 8.660053730010986, 8.74021029472351, 9.765275001525879, 9.89333176612854, 10.132592678070068, 10.229007720947266]","[-0.013097789552476646, 0.17130295435587573, -0.028180625703599915, -0.004527886708577178, -0.04354861047532843, 0.009896437327067353, 0.052139970991346374, 0.026792446772257783, 0.003578874799940124, -0.22811134656270404, -0.0771279599931507]","[-2.9470026493072456, 12.84772157669068, -6.340640783309978, -0.33959150314328845, -9.798437356948893, 0.7422327995300517, 11.731493473052929, 2.009433507919334, 0.8052468299865275, -17.108350992202794, -17.353790998458898]"
4,3,3,5,135,0.09651357236534656,12.043370441956936,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.3360633850097656, 1.6163406372070312, 2.128450632095337, 3.61688232421875, 4.09721565246582, 5.489268779754639, 5.969466209411621, 7.1217358112335205, 7.634130001068115, 8.70610785484314, 9.187269926071167]","[0.9486675262451172, 1.0607078075408936, 1.2847330570220947, 1.3967976570129395, 2.5650103092193604, 2.677189588546753, 3.077120780944824, 3.1571922302246094, 4.5655517578125, 4.693568706512451, 5.0458855628967285, 5.141937255859375, 6.437939167022705, 6.5340046882629395, 6.918135404586792, 6.998101711273193, 8.070404529571533, 8.182717323303223, 8.582800388336182, 8.662388801574707, 9.654777526855469, 9.769709348678589, 10.135939598083496, 10.230738401412964]","[-0.1083810594346788, -0.053056081136067634, 0.06766555044386102, 0.15509835879008005, 0.03588888380262567, 0.05871979395548532, 0.03575298521253778, -0.18106373151143362, 0.06794974539015008, -0.2613554795583095, 0.0367176267835827]","[-24.385738372802727, -3.979206085205073, 15.224748849868725, 11.632376909256006, 8.074998855590772, 4.4039845466614, 8.044421672820997, -13.579779863357524, 15.288692712783764, -19.601660966873204, 8.261466026306104]"
5,3,4,5,135,0.08869834620543203,10.707485133951351,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.4321267604827881, 1.695446491241455, 2.2073841094970703, 3.711095094680786, 4.190958738327026, 5.584136247634888, 6.078631401062012, 7.231221675872803, 7.614192485809326, 8.750197172164917, 9.265261888504028]","[0.5572774410247803, 0.7024695873260498, 0.9894046783447266, 1.0850884914398193, 2.2527029514312744, 2.3649652004241943, 2.764662504196167, 2.861480236053467, 4.268372297286987, 4.380343675613403, 4.748237133026123, 4.8289289474487305, 6.141408681869507, 6.252031087875366, 6.6359100341796875, 6.750558853149414, 7.788498163223267, 7.89991307258606, 8.171470880508423, 8.283506870269775, 9.307474851608276, 9.435205221176147, 9.822533130645752, 9.918625116348267]","[-0.012317683961656334, -0.07001360257466627, 0.06749317381117059, 0.17037765185038278, 0.03541919920179559, 0.05984417597452829, 0.05005070898267938, -0.18074305852254202, -0.061473634507921204, -0.1973286469777431, 0.07062027189466669]","[-2.7714788913726753, -5.25102019309997, 15.185964107513378, 12.778323888778711, 7.969319820404004, 4.488313198089623, 11.261409521102856, -13.555729389190654, -13.831567764282266, -14.799648523330728, 15.889561176299996]"
6,3,5,5,135,0.14421897464328345,15.949208086187179,"[0.0, 0.4444444444444444, 1.7777777777777777, 2.2222222222222223, 3.5555555555555554, 4.0, 5.333333333333333, 5.777777777777778, 7.111111111111111, 7.555555555555555, 8.88888888888889, 9.333333333333334]","[0.0, 0.38194966316223145, 1.7578892707824707, 2.2378053665161133, 3.581709384918213, 4.014171838760376, 5.581646919250488, 6.0616021156311035, 7.133548021316528, 7.709385871887207, 8.381420850753784, 8.925416946411133]","[0.513331413269043, 0.6553654670715332, 0.8952836990356445, 1.0074522495269775, 2.27122163772583, 2.3833978176116943, 2.7511396408081055, 2.8471572399139404, 4.095042705535889, 4.1909379959106445, 4.527505159378052, 4.622985601425171, 6.094979286193848, 6.1909754276275635, 6.574934959411621, 6.654917240142822, 7.646880626678467, 7.758775472640991, 8.222719192504883, 8.335998296737671, 8.894754409790039, 9.006721496582031, 9.438750267028809, 9.519238233566284]","[-0.062494781282212974, 0.042606274286906, 0.035471651289197936, 0.010570685068766572, -0.011981990602281556, 0.23414174715677927, 0.03551075193617059, -0.26138742764790823, 0.13139340612623407, -0.6612983544667568, 0.09955165121290399]","[-14.06132578849792, 3.1954705715179497, 7.981121540069531, 0.7928013801574931, -2.695947885513349, 17.560631036758448, 7.989919185638379, -19.604057073593122, 29.563516378402653, -49.597376585006735, 22.399121522903386]"
7,5,0,2,120,0.09934146404266357,10.953809420267742,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.4798009395599365, 1.8080220222473145, 2.3840692043304443, 3.8403496742248535, 4.384482383728027, 5.696238040924072, 6.288342714309692, 7.615987062454224, 8.208331823348999, 9.615844011306763]","[0.0926823616027832, 0.28472256660461426, 0.572484016418457, 0.7165942192077637, 1.900705337524414, 2.0605576038360596, 2.476752519607544, 2.636751651763916, 3.933032512664795, 4.076794624328613, 4.477165699005127, 4.605154037475586, 5.788921356201172, 5.933148384094238, 6.381026029586792, 6.5087902545928955, 7.708670139312744, 7.837029457092285, 8.301014423370361, 8.4449303150177, 9.708527565002441, 9.868526458740234, 10.348419904708862]","[-0.020199060440063477, -0.17177891731262207, 0.07604718208312988, -0.04371953010559082, 0.04413270950317383, -0.18824434280395508, 0.09210467338562012, -0.17235565185546875, 0.09234476089477539, -0.09248781204223633]","[-4.039812088012695, -11.451927820841473, 15.209436416625977, -2.9146353403727217, 8.826541900634766, -12.549622853597006, 18.420934677124023, -11.490376790364582, 18.468952178955078, -6.165854136149088]"
8,5,5,2,120,0.16370651457044813,18.027224364104097,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5]","[0.0, 0.5119245052337646, 1.8248291015625, 2.335792064666748, 3.7756569385528564, 4.2578346729278564, 5.344088315963745, 6.271662712097168, 7.439439296722412, 7.951313495635986]","[1.5722696781158447, 1.7012138366699219, 2.084196090698242, 2.181097984313965, 3.397094249725342, 3.524385690689087, 3.9080636501312256, 4.004091501235962, 5.347929239273071, 5.4598376750946045, 5.830097913742065, 5.924367427825928, 6.916357517242432, 7.044656038284302, 7.843934535980225, 7.971994161605835, 9.01171088218689, 9.123696088790894, 9.523585796356201, 9.619638681411743]","[0.011924505233764648, -0.18709540367126465, 0.010962963104248047, -0.0601351261138916, -0.017822265625, -0.41374635696411133, 0.42757439613342285, -0.33222341537475586, 0.011874198913574219]","[2.3849010467529297, -12.473026911417644, 2.1925926208496094, -4.009008407592773, -3.564453125, -27.58309046427409, 85.51487922668457, -22.14822769165039, 2.3748397827148438]"
9,5,4,2,120,0.08039672374725342,6.616295178731283,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.5133571624755859, 1.8084535598754883, 2.304030656814575, 3.856920003890991, 4.336245059967041, 5.840011119842529, 6.351874828338623, 7.8560850620269775, 8.400004863739014, 9.456045389175415]","[0.5556535720825195, 0.7487075328826904, 1.0690124034881592, 1.1806399822235107, 2.3641085624694824, 2.4758973121643066, 2.8596854209899902, 2.9716899394989014, 4.4125752449035645, 4.523589611053467, 4.89189887046814, 4.98866081237793, 6.395665645599365, 6.507744550704956, 6.907529830932617, 6.97165060043335, 8.411739349365234, 8.523559808731079, 8.955660104751587, 9.051944732666016, 10.01170039176941, 10.123741149902344]","[0.013357162475585938, -0.20490360260009766, -0.004422903060913086, 0.052889347076416016, -0.020674943923950195, 0.0037660598754882812, 0.01186370849609375, 0.004210233688354492, 0.04391980171203613, -0.44395947456359863]","[2.6714324951171875, -13.660240173339844, -0.8845806121826172, 3.525956471761068, -4.134988784790039, 0.2510706583658854, 2.37274169921875, 0.28068224589029944, 8.783960342407227, -29.59729830423991]"
10,5,1,2,120,0.13646130561828612,12.698809305826824,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.44830965995788574, 1.7440414428710938, 2.25594162940979, 3.808016777038574, 4.303814172744751, 5.567963123321533, 6.1463024616241455, 7.58397102355957, 8.207942724227905, 9.167959690093994]","[0.31012487411499023, 0.4379689693450928, 0.7584366798400879, 0.8541455268859863, 2.0541694164276123, 2.1661181449890137, 2.566052198410034, 2.645904064178467, 4.118141412734985, 4.230123043060303, 4.61394190788269, 4.7099151611328125, 5.8780906200408936, 6.021929025650024, 6.456430435180664, 6.5507447719573975, 7.894096374511719, 8.02348804473877, 8.518070459365845, 8.630026817321777, 9.478087425231934, 9.606073141098022, 9.990421533584595, 10.086391925811768]","[-0.05169034004211426, -0.204268217086792, 0.011900186538696289, 0.05207514762878418, -0.004202604293823242, -0.23585104942321777, 0.0783393383026123, -0.062331438064575195, 0.12397170066833496, -0.5399830341339111]","[-10.338068008422852, -13.617881139119467, 2.380037307739258, 3.471676508585612, -0.8405208587646484, -15.723403294881185, 15.667867660522461, -4.155429204305014, 24.794340133666992, -35.99886894226074]"
