trial_number,alpha_id,traj_id,rhythm_id,tempo,ave. error,ave. error (%),ref_times,recorded_times,times_from_start,error_list,errp_list
1,3,0,2,120,0.11778370539347331,17.3913249263057,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5]","[0.0, 0.3680136203765869, 1.8718039989471436, 2.223834753036499, 3.808108329772949, 4.175959825515747, 5.792158842086792, 6.176024436950684, 7.887927055358887, 8.27227783203125]","[3.010627031326294, 3.106651782989502, 3.378640651702881, 3.4584107398986816, 4.882431268692017, 4.978452920913696, 5.234462022781372, 5.330632209777832, 6.818735122680664, 6.914510726928711, 7.186587333679199, 7.282430171966553, 8.802786111831665, 8.914459228515625, 9.186651945114136, 9.282603979110718, 10.898553848266602, 11.010785818099976, 11.282905340194702, 11.378546953201294]","[-0.13198637962341309, 0.0037903785705566406, -0.14796924591064453, 0.0842735767364502, -0.13214850425720215, 0.11619901657104492, -0.1161344051361084, 0.21190261840820312, -0.11564922332763672]","[-26.397275924682617, 0.252691904703776, -29.593849182128906, 5.61823844909668, -26.42970085144043, 7.746601104736328, -23.22688102722168, 14.126841227213541, -23.129844665527344]"
2,3,5,2,120,0.3743896484375,35.89351336161295,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3523240089416504, 1.1696841716766357, 1.5040252208709717, 2.5601589679718018, 2.8640148639678955, 3.7608160972595215, 4.112929105758667, 5.024226665496826, 5.361527442932129, 6.256103515625]","[3.010347604751587, 3.0911970138549805, 3.3626720905303955, 3.4264585971832275, 4.18002986907959, 4.258664131164551, 4.514374017715454, 4.5952208042144775, 5.570507764816284, 5.634368419647217, 5.8743627071380615, 5.954372882843018, 6.771158218383789, 6.866768836975098, 7.123271465301514, 7.218565464019775, 8.034574747085571, 8.115849018096924, 8.371870279312134, 8.45046615600586, 9.266452550888062, 9.362496852874756, 9.538343906402588, 9.61840271949768]","[-0.1476759910583496, -0.6826398372650146, -0.16565895080566406, -0.4438662528991699, -0.19614410400390625, -0.603198766708374, -0.1478869915008545, -0.5887024402618408, -0.16269922256469727, -0.6054239273071289]","[-29.535198211669922, -45.509322484334305, -33.13179016113281, -29.591083526611328, -39.22882080078125, -40.2132511138916, -29.5773983001709, -39.24682935078938, -32.53984451293945, -40.361595153808594]"
3,3,1,2,120,0.34087975025177003,33.903349240620926,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3353426456451416, 1.1682281494140625, 1.5355525016784668, 2.5432770252227783, 2.84725022315979, 3.7440524101257324, 4.079197406768799, 5.071301221847534, 5.39116358757019, 6.5912024974823]","[0.652001142501831, 0.7472579479217529, 0.9873490333557129, 1.0675971508026123, 1.8202335834503174, 1.9151010513305664, 2.187554359436035, 2.267219066619873, 3.1952826976776123, 3.2913296222686768, 3.4992568492889404, 3.595381021499634, 4.396055221557617, 4.475135087966919, 4.731204271316528, 4.827402830123901, 5.723306655883789, 5.819134950637817, 6.043170690536499, 6.139140844345093, 7.243208885192871, 7.307197332382202, 7.597816705703735, 7.675169944763184, 8.571186780929565, 8.667175769805908, 8.90830397605896, 8.987311601638794, 10.076455116271973, 10.155354261398315, 10.331707000732422, 10.427220106124878]","[-0.1646573543548584, -0.6671144962310791, -0.1326756477355957, -0.4922754764556885, -0.19602680206298828, -0.6031978130340576, -0.1648550033569336, -0.5078961849212646, -0.18013763427734375, -0.2999610900878906]","[-32.93147087097168, -44.4742997487386, -26.53512954711914, -32.8183650970459, -39.205360412597656, -40.213187535603836, -32.97100067138672, -33.85974566141765, -36.02752685546875, -19.997406005859375]"
4,3,3,2,120,0.403146767616272,37.82678763071696,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3361532688140869, 1.3441288471221924, 1.6640112400054932, 2.4972033500671387, 2.800014019012451, 3.4721317291259766, 3.8720052242279053, 4.751943349838257, 5.071948289871216, 5.96853232383728]","[0.7438161373138428, 0.8399269580841064, 1.0799682140350342, 1.2238190174102783, 2.087944746017456, 2.1997735500335693, 2.407827377319336, 2.5068790912628174, 3.241015911102295, 3.336163282394409, 3.5438318252563477, 3.6398227214813232, 4.215949535369873, 4.311761856079102, 4.615821838378906, 4.711864471435547, 5.495760679244995, 5.607922315597534, 5.815766096115112, 5.927886724472046, 6.7123494148254395, 6.807790756225586, 7.047808647155762, 7.14421010017395, 7.896557092666626, 7.991792917251587, 8.216465950012207, 8.312483072280884, 9.015854120254517, 9.111897468566895, 9.320648193359375, 9.431902647018433, 10.187592267990112, 10.280082702636719, 10.455817937850952, 10.56821084022522]","[-0.16384673118591309, -0.49202442169189453, -0.18011760711669922, -0.6668078899383545, -0.1971893310546875, -0.8278822898864746, -0.10012650489807129, -0.6200618743896484, -0.17999505996704102, -0.6034159660339355]","[-32.76934623718262, -32.80162811279297, -36.023521423339844, -44.45385932922363, -39.4378662109375, -55.192152659098305, -20.025300979614258, -41.337458292643234, -35.9990119934082, -40.22773106892903]"
5,3,4,2,120,0.3986909627914429,37.290914853413895,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3189363479614258, 1.2450165748596191, 1.5986356735229492, 2.381077527999878, 2.7171616554260254, 3.7898290157318115, 4.125228643417358, 4.893100738525391, 5.245697736740112, 6.013090372085571]","[0.6635310649871826, 0.7725074291229248, 0.9824681282043457, 1.0775134563446045, 1.90855073928833, 2.020594596862793, 2.262169599533081, 2.357189655303955, 3.044612169265747, 3.156625747680664, 3.380695104598999, 3.460611343383789, 4.453363418579102, 4.532678842544556, 4.788762331008911, 4.868845462799072, 5.5566346645355225, 5.653095960617065, 5.909230947494507, 6.005390167236328, 6.676624298095703, 6.774656057357788, 6.932713031768799, 7.06319522857666, 7.988722324371338, 8.117079257965088, 8.292667388916016, 8.420647859573364]","[-0.18106365203857422, -0.5739197731018066, -0.14638090133666992, -0.7175581455230713, -0.16391587257385254, -0.42733263969421387, -0.16460037231445312, -0.7321279048919678, -0.14740300178527832, -0.732607364654541]","[-36.212730407714844, -38.26131820678711, -29.276180267333984, -47.837209701538086, -32.78317451477051, -28.488842646280926, -32.920074462890625, -48.80852699279785, -29.480600357055664, -48.840490976969406]"
6,3,4,2,120,0.36318924427032473,36.025071144104004,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.3524198532104492, 1.327876329421997, 1.6639583110809326, 2.7225136756896973, 2.99192214012146, 4.063874244689941, 4.400078058242798, 5.423931121826172, 5.743882894515991, 6.368107557296753]","[0.9027769565582275, 0.9826042652130127, 1.2551970481872559, 1.3529961109161377, 2.2306532859802246, 2.3266446590423584, 2.56673526763916, 2.662599563598633, 3.6252899169921875, 3.7050836086273193, 3.8946990966796875, 4.00681471824646, 4.966651916503906, 5.063389539718628, 5.302853584289551, 5.398721694946289, 6.3267083168029785, 6.454761981964111, 6.646660566329956, 6.7746193408966064, 7.2708845138549805, 7.382686138153076, 7.590944766998291, 7.670675039291382]","[-0.14758014678955078, -0.5245435237884521, -0.16391801834106445, -0.44144463539123535, -0.2305915355682373, -0.42804789543151855, -0.16379618644714355, -0.476146936416626, -0.18004822731018066, -0.8757753372192383]","[-29.516029357910156, -34.96956825256348, -32.78360366821289, -29.42964235941569, -46.11830711364746, -28.536526362101238, -32.75923728942871, -31.74312909444173, -36.00964546203613, -58.385022481282554]"
7,3,2,2,120,0.36473219394683837,35.06176471710205,"[0.0, 0.5, 2.0, 2.5, 4.0, 4.5, 6.0, 6.5, 8.0, 8.5, 10.0]","[0.0, 0.33670639991760254, 1.3310551643371582, 1.6491484642028809, 2.6887242794036865, 3.024627923965454, 3.920896291732788, 4.240292310714722, 5.072503328323364, 5.456432580947876, 6.352678060531616]","[0.5249652862548828, 0.6372835636138916, 0.8616693019866943, 0.9410915374755859, 1.8560199737548828, 1.950514793395996, 2.1741065979003906, 2.269209861755371, 3.2136878967285156, 3.3095412254333496, 3.5495898723602295, 3.661174774169922, 4.445857048034668, 4.573303461074829, 4.765257358551025, 4.877291679382324, 5.597468376159668, 5.709596395492554, 5.9813971519470215, 6.077973127365112, 6.877640008926392, 6.989408493041992, 7.149497747421265, 7.261471271514893, 7.821864128112793, 7.918233871459961, 8.159227132797241, 8.253507614135742, 8.973499059677124, 9.08646273612976, 9.437587022781372, 9.535546779632568, 9.805546760559082, 9.90151858329773]","[-0.16329360008239746, -0.5056512355804443, -0.18190670013427734, -0.46042418479919434, -0.16409635543823242, -0.603731632232666, -0.1806039810180664, -0.6677889823913574, -0.11607074737548828, -0.6037545204162598]","[-32.65872001647949, -33.71008237202962, -36.38134002685547, -30.69494565327962, -32.819271087646484, -40.248775482177734, -36.12079620361328, -44.51926549275716, -23.214149475097656, -40.250301361083984]"
8,5,0,1,115,0.12465274621898992,17.97401500336917,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.3517343997955322, 2.1600959300994873, 2.5437698364257812, 4.160125494003296, 4.528133869171143, 6.047942638397217, 6.447890996932983, 7.935983180999756, 8.336255311965942]","[7.295705556869507, 7.375713348388672, 7.647439479827881, 7.727536916732788, 9.455801963806152, 9.551675796508789, 9.839476346969604, 9.935481071472168, 11.455831527709961, 11.551745414733887, 11.823840379714966, 11.935763597488403, 13.34364914894104, 13.455719232559204, 13.743597507476807, 13.839729309082031, 15.231688499450684, 15.327983856201172, 15.631961584091187, 15.727890014648438, 17.08792281150818, 17.18375563621521, 17.45603585243225]","[-0.17000473063925037, 0.2431441389996074, -0.13806522410848876, 0.05113826627316698, -0.15373075526693558, -0.04540862207827345, -0.12179077189901566, -0.07712520723757432, -0.12146699946859663]","[-32.58424003918965, 15.534208880530475, -26.462501287460338, 3.2671670118967793, -29.465061426162677, -2.90110641055636, -23.343231280644684, -4.927443795733918, -23.281174898147665]"
9,5,4,1,115,0.1301913422662856,16.310842684757567,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.38225340843200684, 1.9182498455047607, 2.286130905151367, 4.030363321304321, 4.526185989379883, 5.8063554763793945, 6.222365617752075, 7.903031587600708, 8.286770343780518]","[0.5463953018188477, 0.6565546989440918, 0.9286484718322754, 1.0256643295288086, 2.464646577835083, 2.5447134971618652, 2.8325278759002686, 2.944638252258301, 4.576757431030273, 4.688553810119629, 5.072582721710205, 5.168625354766846, 6.352751731872559, 6.448796033859253, 6.768761873245239, 6.864726305007935, 8.449421405792236, 8.545160293579102, 8.833163976669312, 8.944815397262573, 10.176985263824463, 10.289575338363647, 10.513328313827515, 10.609092712402344]","[-0.13948572200277576, -0.029220954231593765, -0.15385807078817626, 0.17901502484860643, -0.025916462359220738, -0.28504790430483595, -0.1057289890621016, 0.11544857854428603, -0.13800037425497358]","[-26.734763383865356, -1.8668942981296017, -29.489463567733775, 11.4370710319943, -4.967321952183978, -18.2113938861423, -20.26472290356949, 7.375881406996057, -26.45007173220324]"
10,5,2,1,115,0.1448940032922129,21.769273869785266,"[0.0, 0.5217391304347826, 2.0869565217391304, 2.608695652173913, 4.173913043478261, 4.695652173913043, 6.260869565217391, 6.782608695652173, 8.34782608695652, 8.869565217391303]","[0.0, 0.35236120223999023, 1.8881704807281494, 2.208056688308716, 3.856309652328491, 4.208155632019043, 5.952380895614624, 6.320282936096191, 8.016803741455078, 8.352212905883789]","[0.6531991958618164, 0.7810921669006348, 1.005561351776123, 1.1172046661376953, 2.541369676589966, 2.6532535552978516, 2.8612561225891113, 2.9740793704986572, 4.509506940841675, 4.637398719787598, 4.861355304718018, 4.95801305770874, 6.605579137802124, 6.733447313308716, 6.973482370376587, 7.10134220123291, 8.670003175735474, 8.79761815071106, 9.005412101745605, 9.118383407592773, 10.397404909133911, 10.5260169506073, 10.735944271087646]","[-0.16937792819479236, -0.029408112816188492, -0.2018529228542163, 0.08303557271542772, -0.1698931507442305, 0.17900787229123338, -0.15383708995321488, 0.13130341405453994, -0.1863299660060722]","[-32.46410290400187, -1.878851652145376, -38.68847688039145, 5.305050479041216, -32.5628538926442, 11.436614063051023, -29.48544224103287, 8.38882923126228, -35.713243484497134]"
